Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-11-19 13:15:10.000000 ,34.01,40,1.03,1011,35.45,0,0,10000,Không xác định,Nắng
Hanoi,2023-11-19 13:17:24.000000 ,25,34,2.4,1019,24.44,322,21,10000,Mây ít,Nắng
Turan,2023-11-19 13:17:47.000000 ,24.99,65,2.57,1017,25.24,360,75,10000,Mây rải rác,Nắng
Haiphong,2023-11-19 13:17:47.000000 ,25.95,29,2.06,1019,25.95,270,0,10000,Không xác định,Nắng
Bien Hoa,2023-11-19 13:17:47.000000 ,33.99,61,2.38,1011,40.99,326,92,10000,Mây u ám,Nắng
Can Tho,2023-11-19 13:17:47.000000 ,29.99,62,1.54,1011,33.22,0,0,10000,Không xác định,Nắng
Thu Dau Mot,2023-11-19 13:17:47.000000 ,34.03,40,1.03,1011,35.48,0,0,10000,Không xác định,Nắng
Di An,2023-11-19 13:17:48.000000 ,33.82,40,1.03,1011,35.12,0,0,10000,Không xác định,Nắng
Hue,2023-11-19 13:17:48.000000 ,24.06,73,2.57,1017,24.43,250,75,10000,Mây rải rác,Nắng
Vung Tau,2023-11-19 13:17:48.000000 ,27.96,68,1.65,1011,30.33,184,94,10000,Mây u ám,Nắng
Thu Dau Mot,2023-11-19 13:17:47.000000 ,34.03,40,1.03,1011,35.48,0,0,10000,Không xác định,Nắng
Nha Trang,2023-11-19 13:17:48.000000 ,28,71,5.58,1014,30.8,9,99,10000,Mây u ám,Nắng
Ha Long,2023-11-19 13:17:48.000000 ,25.77,40,3.28,1019,25.45,142,36,10000,Mây rải rác,Nắng
Qui Nhon,2023-11-19 13:17:48.000000 ,23.91,84,7.6,1015,24.55,358,98,10000,Mưa nhẹ,Mưa
Thanh Hoa,2023-11-19 13:17:48.000000 ,25.37,44,2.31,1019,25.11,79,26,10000,Mây rải rác,Nắng
Thai Nguyen,2023-11-19 13:17:49.000000 ,24.88,46,1.99,1019,24.62,339,52,10000,Mây rải rác,Nắng
Buon Ma Thuot,2023-11-19 13:17:49.000000 ,26.28,60,4.52,1014,26.28,73,60,10000,Mây rải rác,Nắng
Long Xuyen,2023-11-19 13:17:49.000000 ,29.97,54,4.29,1012,31.66,14,99,10000,Mây u ám,Nắng
Phu Khuong,2023-11-19 13:17:49.000000 ,28.97,55,3.11,1012,30.26,6,88,10000,Mây u ám,Nắng
Vinh,2023-11-19 13:17:49.000000 ,23.11,60,3.42,1020,23.04,31,20,10000,Mây ít,Nắng
Rach Gia,2023-11-19 13:17:49.000000 ,27.92,62,5.22,1012,29.55,21,94,10000,Mây u ám,Nắng
Da Lat,2023-11-19 13:17:49.000000 ,23.75,50,1.5,1013,23.49,49,83,10000,Mây rải rác,Nắng
Bac Ninh,2023-11-19 13:17:50.000000 ,25.05,32,2.42,1019,24.45,337,26,10000,Mây rải rác,Nắng
Hai Duong,2023-11-19 13:17:50.000000 ,26,32,2.71,1019,26,340,23,10000,Mây ít,Nắng
Phan Thiet,2023-11-19 13:17:50.000000 ,29.57,54,3.45,1011,31.03,120,95,10000,Mây u ám,Nắng
Pleiku,2023-11-19 13:17:50.000000 ,26.37,49,3.64,1014,26.37,66,8,10000,Không xác định,Nắng
Nam Dinh,2023-11-19 13:17:50.000000 ,25.6,36,1.57,1019,25.16,359,24,10000,Mây ít,Nắng
Ca Mau,2023-11-19 13:17:50.000000 ,29.47,60,2.89,1012,31.85,21,88,10000,Mây u ám,Nắng
Viet Tri,2023-11-19 13:17:50.000000 ,24.97,38,2.37,1019,24.51,321,24,10000,Mây ít,Nắng
Soc Trang,2023-11-19 13:17:50.000000 ,29.69,62,2.51,1011,32.63,11,83,10000,Mây rải rác,Nắng
Quang Ngai,2023-11-19 13:17:51.000000 ,22.38,86,3.54,1017,22.92,328,99,10000,Mây u ám,Nắng
Thai Binh,2023-11-19 13:17:51.000000 ,25.55,36,1.47,1019,25.1,10,22,10000,Mây ít,Nắng
My Tho,2023-11-19 13:17:51.000000 ,30.31,57,2.09,1011,32.81,351,76,10000,Mây rải rác,Nắng
Tuy Hoa,2023-11-19 13:17:51.000000 ,24.14,86,6.44,1015,24.86,9,100,10000,Mây u ám,Nắng
Bac Lieu,2023-11-19 13:17:51.000000 ,29.04,63,2.24,1012,31.58,10,95,10000,Mây u ám,Nắng
Thanh Pho Uong Bi,2023-11-19 13:17:51.000000 ,25.99,28,0.69,1019,25.99,285,36,10000,Mây rải rác,Nắng
Bac Giang,2023-11-19 13:17:51.000000 ,25.04,31,1.88,1019,24.41,334,30,10000,Mây rải rác,Nắng
Tay Ninh,2023-11-19 13:17:52.000000 ,29.11,55,3.38,1012,30.47,9,87,10000,Mây u ám,Nắng
Ninh Binh,2023-11-19 13:17:52.000000 ,25.87,38,2,1019,25.5,40,28,10000,Mây rải rác,Nắng
Tan An,2023-11-19 13:17:52.000000 ,34.01,60,2.5,1011,41.01,347,80,10000,Mây rải rác,Nắng
Kon Tum,2023-11-19 13:17:52.000000 ,27.37,50,2.48,1014,27.78,55,18,10000,Mây ít,Nắng
Tam Ky,2023-11-19 13:17:52.000000 ,22.38,83,2.31,1017,22.84,342,99,10000,Mây u ám,Nắng
Vinh Long,2023-11-19 13:17:52.000000 ,29.99,56,2.99,1011,32.05,6,74,10000,Mây rải rác,Nắng
Lao Cai,2023-11-19 13:17:52.000000 ,24.77,45,1.05,1019,24.48,44,55,10000,Mây rải rác,Nắng
Lagi,2023-11-19 13:17:52.000000 ,28.47,62,2.43,1011,30.43,143,86,10000,Mây u ám,Nắng
Rach Gia,2023-11-19 13:17:49.000000 ,27.92,62,5.22,1012,29.55,21,94,10000,Mây u ám,Nắng
Con Son,2023-11-19 13:17:53.000000 ,27.28,76,6.33,1012,29.94,27,93,10000,Mưa vừa,Mưa
Cho Dok,2023-11-19 13:17:53.000000 ,29,53,6,1012,30.04,22,91,10000,Mây u ám,Nắng
Loc Ninh,2023-11-19 13:17:53.000000 ,31.82,46,2,1011,33.16,16,100,10000,Mây u ám,Nắng
Phan Rang-Thap Cham,2023-11-19 13:17:53.000000 ,28.47,64,6.24,1012,30.71,39,94,10000,Mây u ám,Nắng
Kwang Binh,2023-11-19 13:17:53.000000 ,23,71,5.42,1019,23.21,2,96,10000,Mây u ám,Nắng
Dien Bien Phu,2023-11-19 13:17:53.000000 ,20.91,46,0.54,1020,20.26,41,94,10000,Mây u ám,Nắng
Turan,2023-11-19 13:17:54.000000 ,24.99,65,2.57,1017,25.24,360,75,10000,Mây rải rác,Nắng
Don Luan,2023-11-19 13:17:54.000000 ,32.19,51,1.1,1011,34.97,355,98,10000,Mây u ám,Nắng
Loc Ninh,2023-11-19 13:17:53.000000 ,31.82,46,2,1011,33.16,16,100,10000,Mây u ám,Nắng
Song Cau,2023-11-19 13:13:27.000000 ,24.13,84,6.81,1015,24.79,2,97,10000,Mây u ám,Nắng
Bim Son,2023-11-19 13:17:54.000000 ,25.58,39,2.27,1019,25.21,63,19,10000,Mây ít,Nắng
Cu Chi,2023-11-19 13:17:54.000000 ,34.01,60,3.54,1012,41.01,2,95,10000,Mây u ám,Nắng
Uyen Hung,2023-11-19 13:17:54.000000 ,33.78,60,2.53,1011,40.78,342,90,10000,Mây u ám,Nắng
Ben Tre,2023-11-19 13:17:54.000000 ,30.71,56,1.85,1011,33.34,350,78,10000,Mây rải rác,Nắng
Sa Dec,2023-11-19 13:17:55.000000 ,29.99,55,3.52,1012,31.87,7,88,10000,Mây u ám,Nắng
Ap Van Tu Tay,2023-11-19 13:17:55.000000 ,27.34,70,4.57,1014,29.44,13,99,10000,Mây u ám,Nắng
Song Cau,2023-11-19 13:13:27.000000 ,24.13,84,6.81,1015,24.79,2,97,10000,Mây u ám,Nắng
Ngo Chau,2023-11-19 13:17:55.000000 ,23.82,81,4.44,1015,24.37,8,85,10000,Mây u ám,Nắng
Hoi An,2023-11-19 13:17:55.000000 ,24.98,77,5.58,1017,25.54,15,98,10000,Mây u ám,Nắng
Dong Ha,2023-11-19 13:17:55.000000 ,23.23,76,3.33,1018,23.59,10,100,10000,Mây u ám,Nắng
Bim Son,2023-11-19 13:17:54.000000 ,25.58,39,2.27,1019,25.21,63,19,10000,Mây ít,Nắng
Phu Ly,2023-11-19 13:17:46.000000 ,25.91,36,2.16,1019,25.5,359,22,10000,Mây ít,Nắng
Hai Ha,2023-11-19 13:17:56.000000 ,25.33,36,1.34,1019,24.86,65,17,10000,Mây ít,Nắng
Ha Dong,2023-11-19 13:17:56.000000 ,25.01,35,2.4,1019,24.48,323,20,10000,Mây ít,Nắng
Hau Duong,2023-11-19 13:17:56.000000 ,25.02,38,2.06,1019,24.57,0,0,10000,Không xác định,Nắng
Yen Lap,2023-11-19 13:17:56.000000 ,24.8,37,2.08,1019,24.3,21,23,10000,Mây ít,Nắng
Thanh Ba,2023-11-19 13:17:56.000000 ,24.15,40,2.9,1019,23.67,350,22,10000,Mây ít,Nắng
Doan Hung,2023-11-19 13:17:56.000000 ,23.7,43,2.32,1019,23.25,347,44,10000,Mây rải rác,Nắng
Son Duong,2023-11-19 13:17:56.000000 ,23.68,41,1.48,1020,23.17,334,50,10000,Mây rải rác,Nắng
