Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-11-28 16:35:14.000000 ,31.01,58,3.6,1009,34.38,180,75,10000,Mây rải rác,Nắng
Hanoi,2023-11-28 16:34:48.000000 ,27,41,1.71,1015,26.91,135,2,10000,Không xác định,Nắng
Turan,2023-11-28 16:35:16.000000 ,25.99,69,3.09,1015,25.99,360,40,10000,Mây rải rác,Nắng
Haiphong,2023-11-28 16:36:40.000000 ,24.95,65,4.12,1016,25.2,140,0,10000,Không xác định,Nắng
Bien Hoa,2023-11-28 16:36:40.000000 ,30.99,73,1.43,1008,37.99,289,63,10000,Mây rải rác,Nắng
Can Tho,2023-11-28 16:36:40.000000 ,28.99,74,0.51,1009,33.47,0,40,10000,Mây rải rác,Nắng
Thu Dau Mot,2023-11-28 16:36:40.000000 ,31.03,58,3.6,1009,34.42,180,75,10000,Mây rải rác,Nắng
Di An,2023-11-28 16:36:40.000000 ,30.82,58,3.6,1009,34,180,75,10000,Mây rải rác,Nắng
Hue,2023-11-28 16:35:06.000000 ,26.06,69,2.06,1014,26.06,80,75,10000,Mây rải rác,Nắng
Vung Tau,2023-11-28 16:36:41.000000 ,27.84,77,4.94,1008,31.28,83,11,10000,Mây ít,Nắng
Thu Dau Mot,2023-11-28 16:36:40.000000 ,31.03,58,3.6,1009,34.42,180,75,10000,Mây rải rác,Nắng
Nha Trang,2023-11-28 16:36:41.000000 ,25,82,5.35,1011,25.7,9,33,10000,Mây rải rác,Nắng
Ha Long,2023-11-28 16:35:08.000000 ,24.77,71,3.28,1016,25.16,102,19,10000,Mây ít,Nắng
Qui Nhon,2023-11-28 16:36:41.000000 ,24.24,81,8.05,1013,24.83,359,98,10000,Mưa nhẹ,Mưa
Thanh Hoa,2023-11-28 16:36:41.000000 ,22.76,71,2.82,1016,22.95,109,27,10000,Mây rải rác,Nắng
Thai Nguyen,2023-11-28 16:36:42.000000 ,26.88,47,1.31,1015,27.14,176,0,10000,Không xác định,Nắng
Buon Ma Thuot,2023-11-28 16:36:42.000000 ,22.04,78,4.23,1012,22.34,75,40,10000,Mây rải rác,Nắng
Long Xuyen,2023-11-28 16:36:42.000000 ,28.97,71,0.27,1008,32.85,322,98,10000,Mây u ám,Nắng
Phu Khuong,2023-11-28 16:36:42.000000 ,28.77,66,2.49,1008,31.56,278,23,10000,Mây ít,Nắng
Vinh,2023-11-28 16:36:42.000000 ,22.66,79,2.73,1016,23.04,48,92,10000,Mây u ám,Nắng
Rach Gia,2023-11-28 16:36:42.000000 ,28.15,73,0.36,1008,31.39,322,100,10000,Mây u ám,Nắng
Da Lat,2023-11-28 16:36:42.000000 ,17.34,89,1.72,1012,17.45,59,90,10000,Mây u ám,Nắng
Bac Ninh,2023-11-28 16:36:43.000000 ,27.05,43,3.25,1015,27.06,151,1,10000,Không xác định,Nắng
Hai Duong,2023-11-28 16:36:43.000000 ,25,53,5.62,1016,24.94,128,7,10000,Không xác định,Nắng
Phan Thiet,2023-11-28 16:36:43.000000 ,28.23,69,5.5,1008,30.98,72,70,10000,Mây rải rác,Nắng
Pleiku,2023-11-28 16:36:43.000000 ,21.54,73,2.7,1012,21.66,61,86,10000,Mây u ám,Nắng
Nam Dinh,2023-11-28 16:36:43.000000 ,24.29,60,4.81,1016,24.34,111,4,10000,Không xác định,Nắng
Ca Mau,2023-11-28 16:36:43.000000 ,26.49,79,3.56,1008,26.49,98,100,10000,Mưa nhẹ,Mưa
Viet Tri,2023-11-28 16:36:43.000000 ,26.97,44,2.31,1015,27.05,128,0,10000,Không xác định,Nắng
Soc Trang,2023-11-28 16:36:43.000000 ,26.17,80,4.5,1008,26.17,90,100,10000,Mây u ám,Nắng
Quang Ngai,2023-11-28 16:36:44.000000 ,23.07,83,3.16,1014,23.6,357,98,10000,Mây u ám,Nắng
Thai Binh,2023-11-28 16:36:44.000000 ,23.82,64,4.76,1016,23.93,107,3,10000,Không xác định,Nắng
My Tho,2023-11-28 16:36:44.000000 ,26.24,86,1.55,1008,26.24,96,67,10000,Mây rải rác,Nắng
Tuy Hoa,2023-11-28 16:36:44.000000 ,23.85,85,6.04,1013,24.51,4,97,10000,Mưa nhẹ,Mưa
Bac Lieu,2023-11-28 16:36:44.000000 ,26.85,79,5.6,1008,29.33,90,100,10000,Mây u ám,Nắng
Thanh Pho Uong Bi,2023-11-28 16:36:44.000000 ,24.99,65,2.65,1016,25.24,129,23,10000,Mây ít,Nắng
Bac Giang,2023-11-28 16:36:44.000000 ,27.04,47,5.31,1015,27.27,144,2,10000,Không xác định,Nắng
Tay Ninh,2023-11-28 16:36:44.000000 ,28.89,65,2.4,1008,31.63,277,23,10000,Mây ít,Nắng
Ninh Binh,2023-11-28 16:36:44.000000 ,24.33,60,4.68,1016,24.39,111,6,10000,Không xác định,Nắng
Tan An,2023-11-28 16:36:45.000000 ,31.01,84,1.4,1008,38.01,124,72,10000,Mây rải rác,Nắng
Kon Tum,2023-11-28 16:36:45.000000 ,22.15,74,2.41,1013,22.35,62,94,10000,Mây u ám,Nắng
Tam Ky,2023-11-28 16:36:45.000000 ,23.42,81,2.79,1015,23.93,16,80,10000,Mây rải rác,Nắng
Vinh Long,2023-11-28 16:36:45.000000 ,28.99,83,1.87,1008,35.38,10,100,8478,Mây u ám,Nắng
Lao Cai,2023-11-28 16:36:45.000000 ,22.34,69,0.67,1015,22.43,129,31,10000,Mây rải rác,Nắng
Lagi,2023-11-28 16:36:45.000000 ,27.44,76,6.38,1008,30.28,69,55,10000,Mây rải rác,Nắng
Rach Gia,2023-11-28 16:36:42.000000 ,28.15,73,0.36,1008,31.39,322,100,10000,Mây u ám,Nắng
Con Son,2023-11-28 16:36:45.000000 ,26.81,84,11.79,1008,29.66,66,100,10000,Mây u ám,Nắng
Cho Dok,2023-11-28 16:36:45.000000 ,28.48,67,2.36,1008,31.16,333,92,10000,Mây u ám,Nắng
Loc Ninh,2023-11-28 16:36:46.000000 ,28.09,63,1.29,1008,29.94,281,42,10000,Mây rải rác,Nắng
Phan Rang-Thap Cham,2023-11-28 16:36:46.000000 ,26.49,72,5.72,1010,26.49,32,73,10000,Mây rải rác,Nắng
Kwang Binh,2023-11-28 16:36:46.000000 ,23.38,76,3.02,1015,23.76,55,16,10000,Mây ít,Nắng
Dien Bien Phu,2023-11-28 16:35:04.000000 ,21.76,65,0.92,1014,21.69,102,1,10000,Không xác định,Nắng
Turan,2023-11-28 16:35:16.000000 ,25.99,69,3.09,1015,25.99,360,40,10000,Mây rải rác,Nắng
Don Luan,2023-11-28 16:32:27.000000 ,30.52,74,2.19,1008,37.47,216,44,10000,Mây rải rác,Nắng
Loc Ninh,2023-11-28 16:36:46.000000 ,28.09,63,1.29,1008,29.94,281,42,10000,Mây rải rác,Nắng
Song Cau,2023-11-28 16:36:46.000000 ,24.07,82,7.25,1013,24.67,0,97,10000,Mưa nhẹ,Mưa
