Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-12-04 13:35:05.000000 ,34.01,49,0.51,1010,38.08,0,40,10000,Mây rải rác,Nắng
Hanoi,2023-12-04 13:35:42.000000 ,20,74,2.33,1016,19.99,18,100,10000,Mây u ám,Nắng
Turan,2023-12-04 13:33:51.000000 ,26.99,78,3.6,1013,29.53,60,75,10000,Mây rải rác,Nắng
Haiphong,2023-12-04 13:37:11.000000 ,22.95,73,2.06,1016,23.21,40,100,7000,Mây u ám,Nắng
Bien Hoa,2023-12-04 13:37:11.000000 ,33.99,56,0.1,1008,40.54,113,100,10000,Mây u ám,Nắng
Can Tho,2023-12-04 13:37:11.000000 ,30.99,70,2.57,1010,37.57,50,40,10000,Mây rải rác,Nắng
Thu Dau Mot,2023-12-04 13:37:12.000000 ,34.03,49,0.51,1010,38.12,0,40,10000,Mây rải rác,Nắng
Di An,2023-12-04 13:37:12.000000 ,33.82,49,0.51,1010,37.68,0,40,10000,Mây rải rác,Nắng
Hue,2023-12-04 13:35:06.000000 ,26.06,94,3.6,1013,26.06,50,75,6000,Mây rải rác,Nắng
Vung Tau,2023-12-04 13:37:12.000000 ,27.76,73,3.74,1009,30.58,126,100,10000,Mưa nhẹ,Mưa
Thu Dau Mot,2023-12-04 13:37:12.000000 ,34.03,49,0.51,1010,38.12,0,40,10000,Mây rải rác,Nắng
Nha Trang,2023-12-04 13:37:13.000000 ,30,72,3.46,1011,35.53,42,100,10000,Mây u ám,Nắng
Ha Long,2023-12-04 13:37:13.000000 ,22.77,73,1.22,1015,23.01,58,100,10000,Mây u ám,Nắng
Qui Nhon,2023-12-04 13:37:13.000000 ,26.78,81,3.8,1011,29.34,27,95,10000,Mây u ám,Nắng
Thanh Hoa,2023-12-04 13:37:13.000000 ,22.44,75,2.75,1015,22.7,29,100,10000,Mây u ám,Nắng
Thai Nguyen,2023-12-04 13:37:13.000000 ,19.88,80,1.61,1016,20.01,24,100,10000,Mây u ám,Nắng
Buon Ma Thuot,2023-12-04 13:37:14.000000 ,29.46,54,3.81,1010,30.86,77,100,10000,Mây u ám,Nắng
Long Xuyen,2023-12-04 13:37:14.000000 ,30.97,59,1.98,1009,34.54,70,93,10000,Mây u ám,Nắng
Phu Khuong,2023-12-04 13:37:14.000000 ,32.46,53,1.64,1008,36.04,69,100,10000,Mây u ám,Nắng
Vinh,2023-12-04 13:37:14.000000 ,21.81,90,2.87,1015,22.4,348,100,10000,Mây u ám,Nắng
Rach Gia,2023-12-04 13:37:15.000000 ,29.62,67,2.03,1009,33.49,54,81,10000,Mây rải rác,Nắng
Da Lat,2023-12-04 13:37:15.000000 ,22.51,68,0.97,1011,22.59,91,100,10000,Mây u ám,Nắng
Bac Ninh,2023-12-04 13:37:15.000000 ,20.05,72,3.08,1016,19.99,23,100,10000,Mây u ám,Nắng
Hai Duong,2023-12-04 13:37:15.000000 ,23,68,2.63,1015,23.13,2,100,10000,Mây u ám,Nắng
Phan Thiet,2023-12-04 13:37:15.000000 ,29.53,67,5.14,1009,33.29,106,100,10000,Mây u ám,Nắng
Pleiku,2023-12-04 13:37:15.000000 ,28.31,53,3.61,1010,29.11,80,85,10000,Mây u ám,Nắng
Nam Dinh,2023-12-04 13:33:08.000000 ,21.79,72,2.57,1015,21.9,9,100,10000,Mây u ám,Nắng
Ca Mau,2023-12-04 13:37:16.000000 ,30.15,65,4.43,1009,34.21,83,81,10000,Mây rải rác,Nắng
Viet Tri,2023-12-04 13:37:16.000000 ,19.97,81,0.61,1016,20.14,63,100,10000,Mây u ám,Nắng
Soc Trang,2023-12-04 13:37:16.000000 ,29.98,67,4.05,1009,34.29,81,90,10000,Mây u ám,Nắng
Quang Ngai,2023-12-04 13:37:16.000000 ,26.9,83,3.15,1012,29.79,36,82,10000,Mây rải rác,Nắng
Thai Binh,2023-12-04 13:37:16.000000 ,21.91,73,2.53,1015,22.06,22,100,10000,Mây u ám,Nắng
My Tho,2023-12-04 13:37:17.000000 ,31.44,62,1.2,1009,36.36,80,56,10000,Mây rải rác,Nắng
Tuy Hoa,2023-12-04 13:37:17.000000 ,26.99,79,3.49,1011,29.63,22,100,10000,Mây u ám,Nắng
Bac Lieu,2023-12-04 13:37:17.000000 ,29.02,71,6.13,1009,32.96,88,92,10000,Mây u ám,Nắng
Thanh Pho Uong Bi,2023-12-04 13:34:03.000000 ,22.99,69,0.92,1015,23.15,320,100,10000,Mây u ám,Nắng
Bac Giang,2023-12-04 13:37:17.000000 ,20.04,71,3.48,1016,19.95,34,100,10000,Mây u ám,Nắng
Tay Ninh,2023-12-04 13:37:18.000000 ,32.6,53,1.56,1008,36.33,68,100,10000,Mây u ám,Nắng
Ninh Binh,2023-12-04 13:37:18.000000 ,21.9,72,2.74,1015,22.03,16,100,10000,Mây u ám,Nắng
