Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-12-14 09:48:47.000000 ,33.01,49,4.63,1014,36.03,70,0,10000,Không xác định,Nắng
Hanoi,2023-12-14 09:48:48.000000 ,24,59,3.37,1017,24,169,57,10000,Mây rải rác,Nắng
Turan,2023-12-14 09:45:41.000000 ,27.99,74,0.51,1017,31.19,0,40,10000,Mây rải rác,Nắng
Haiphong,2023-12-14 09:46:31.000000 ,25.95,78,2.57,1017,25.95,100,64,9000,Mây rải rác,Nắng
Bien Hoa,2023-12-14 09:48:48.000000 ,32.99,67,1.31,1013,39.99,16,98,10000,Mây u ám,Nắng
Can Tho,2023-12-14 09:48:48.000000 ,30.99,62,5.66,1013,35.33,50,0,10000,Không xác định,Nắng
Thu Dau Mot,2023-12-14 09:48:48.000000 ,33.03,49,4.63,1014,36.06,70,0,10000,Không xác định,Nắng
Di An,2023-12-14 09:45:41.000000 ,32.82,49,4.63,1014,35.65,70,0,10000,Không xác định,Nắng
Hue,2023-12-14 09:45:10.000000 ,26.06,83,0.51,1017,26.06,150,75,8000,Mây rải rác,Nắng
Vung Tau,2023-12-14 09:45:47.000000 ,28.12,68,3.66,1013,30.63,77,82,10000,Mây rải rác,Nắng
Thu Dau Mot,2023-12-14 09:48:48.000000 ,33.03,49,4.63,1014,36.06,70,0,10000,Không xác định,Nắng
Nha Trang,2023-12-14 09:48:48.000000 ,29,70,2.83,1016,32.73,10,85,10000,Mây u ám,Nắng
Ha Long,2023-12-14 09:45:11.000000 ,25.77,65,2.17,1017,26.1,109,75,10000,Mây rải rác,Nắng
Qui Nhon,2023-12-14 09:48:48.000000 ,26.32,78,3.9,1017,26.32,351,13,10000,Mây ít,Nắng
Thanh Hoa,2023-12-14 09:48:49.000000 ,27.34,63,2.15,1017,28.78,175,31,10000,Mây rải rác,Nắng
