Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-12-03 17:35:03.000000 ,29.01,79,1.03,1010,34.55,0,40,9000,Mây rải rác,Nắng
Hanoi,2023-12-03 17:35:27.000000 ,18,72,1.68,1018,17.74,338,100,10000,Mây u ám,Nắng
Turan,2023-12-03 17:37:33.000000 ,26.99,78,3.6,1015,29.53,50,75,10000,Mây rải rác,Nắng
Haiphong,2023-12-03 17:37:34.000000 ,21.95,78,2.57,1018,22.24,50,75,10000,Mây rải rác,Nắng
Bien Hoa,2023-12-03 17:37:34.000000 ,28.99,81,1.97,1009,34.93,227,100,10000,Mây u ám,Nắng
Can Tho,2023-12-03 17:33:02.000000 ,27.99,78,4.63,1010,31.77,90,40,10000,Mây rải rác,Nắng
Thu Dau Mot,2023-12-03 17:37:34.000000 ,29.03,79,1.03,1010,34.61,0,40,9000,Mây rải rác,Nắng
Di An,2023-12-03 17:37:35.000000 ,28.82,79,1.03,1010,34.04,0,40,9000,Mây rải rác,Nắng
Hue,2023-12-03 17:35:04.000000 ,26.06,83,4.63,1015,26.06,60,75,10000,Mây rải rác,Nắng
Vung Tau,2023-12-03 17:37:35.000000 ,26.54,85,8.04,1009,26.54,99,100,10000,Mây u ám,Nắng
Thu Dau Mot,2023-12-03 17:37:34.000000 ,29.03,79,1.03,1010,34.61,0,40,9000,Mây rải rác,Nắng
Nha Trang,2023-12-03 17:37:35.000000 ,25,92,2.79,1013,25.96,312,99,10000,Mây u ám,Nắng
Ha Long,2023-12-03 17:37:35.000000 ,21.77,76,3.45,1018,21.99,77,99,10000,Mây u ám,Nắng
Qui Nhon,2023-12-03 17:37:35.000000 ,25.02,88,3.8,1013,25.88,12,28,10000,Mây rải rác,Nắng
Thanh Hoa,2023-12-03 17:37:36.000000 ,20.22,84,1.75,1017,20.49,351,97,10000,Mây u ám,Nắng
Thai Nguyen,2023-12-03 17:37:36.000000 ,17.88,77,1.32,1018,17.73,357,100,10000,Mây u ám,Nắng
Buon Ma Thuot,2023-12-03 17:37:36.000000 ,22.48,84,3.69,1012,22.98,71,99,10000,Mây u ám,Nắng
Long Xuyen,2023-12-03 17:37:36.000000 ,27.97,82,3.14,1010,32.33,129,100,10000,Mây u ám,Nắng
Phu Khuong,2023-12-03 17:37:37.000000 ,26.96,77,2.85,1009,29.38,189,99,10000,Mây u ám,Nắng
Vinh,2023-12-03 17:37:37.000000 ,20.22,92,2.82,1017,20.7,321,100,10000,Mây u ám,Nắng
Rach Gia,2023-12-03 17:37:37.000000 ,26.16,84,3.91,1010,26.16,102,100,10000,Mưa nhẹ,Mưa
Da Lat,2023-12-03 17:37:37.000000 ,16.66,96,1.76,1014,16.89,55,100,4223,Mưa nhẹ,Mưa
Bac Ninh,2023-12-03 17:37:37.000000 ,18.05,71,2.16,1018,17.76,336,100,10000,Mây u ám,Nắng
Hai Duong,2023-12-03 17:37:37.000000 ,22,67,1.18,1018,22.01,343,100,10000,Mây u ám,Nắng
Phan Thiet,2023-12-03 17:37:38.000000 ,26.25,79,3.5,1009,26.25,79,100,10000,Mây u ám,Nắng
Pleiku,2023-12-03 17:37:38.000000 ,21.04,82,3.73,1013,21.34,65,100,10000,Mây u ám,Nắng
