Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-11-30 12:28:52.000000 ,33.01,58,2.57,1011,38.84,110,40,10000,Mây rải rác,Nắng
Hanoi,2023-11-30 12:28:46.000000 ,26,76,1.8,1018,26,323,100,10000,Mây u ám,Nắng
Turan,2023-11-30 12:26:28.000000 ,27.99,74,3.6,1015,31.19,360,40,10000,Mây rải rác,Nắng
Haiphong,2023-11-30 12:27:25.000000 ,23.95,83,0.51,1018,24.57,0,75,10000,Mây rải rác,Nắng
Bien Hoa,2023-11-30 12:28:57.000000 ,32.99,56,2.98,1009,38.12,82,83,10000,Mây rải rác,Nắng
Can Tho,2023-11-30 12:28:57.000000 ,30.99,70,2.57,1011,37.57,60,40,10000,Mây rải rác,Nắng
Thu Dau Mot,2023-11-30 12:28:58.000000 ,33.03,58,2.57,1011,38.89,110,40,10000,Mây rải rác,Nắng
Di An,2023-11-30 12:28:58.000000 ,32.82,58,2.57,1011,38.38,110,40,10000,Mây rải rác,Nắng
Hue,2023-11-30 12:27:26.000000 ,27.06,83,2.06,1016,30.17,300,75,10000,Mây rải rác,Nắng
Vung Tau,2023-11-30 12:28:58.000000 ,29.11,72,7.97,1010,33.36,86,100,10000,Mây u ám,Nắng
Thu Dau Mot,2023-11-30 12:28:58.000000 ,33.03,58,2.57,1011,38.89,110,40,10000,Mây rải rác,Nắng
Nha Trang,2023-11-30 12:28:59.000000 ,30,84,3.18,1013,37,3,93,10000,Mây u ám,Nắng
Ha Long,2023-11-30 12:28:59.000000 ,23.77,83,4,1017,24.37,47,100,10000,Mây u ám,Nắng
Qui Nhon,2023-11-30 12:28:59.000000 ,26.52,85,5.57,1014,26.52,13,79,10000,Mây rải rác,Nắng
Thanh Hoa,2023-11-30 12:28:59.000000 ,23.65,84,4.03,1017,24.26,8,100,10000,Mây u ám,Nắng
Thai Nguyen,2023-11-30 12:27:27.000000 ,25.88,66,0.56,1018,26.25,51,100,10000,Mây u ám,Nắng
Buon Ma Thuot,2023-11-30 12:29:00.000000 ,25.84,71,4.51,1013,26.33,74,100,10000,Mây u ám,Nắng
Long Xuyen,2023-11-30 12:29:00.000000 ,30.97,59,3.47,1010,34.54,71,100,10000,Mây u ám,Nắng
Phu Khuong,2023-11-30 12:27:28.000000 ,32.44,56,3.28,1010,36.87,72,87,10000,Mây u ám,Nắng
Vinh,2023-11-30 12:29:00.000000 ,22.04,91,3.44,1016,22.68,306,100,10000,Mây u ám,Nắng
Rach Gia,2023-11-30 12:27:28.000000 ,30.11,70,2.78,1010,35.31,51,100,10000,Mây u ám,Nắng
Da Lat,2023-11-30 12:25:00.000000 ,19.82,85,2.16,1014,20.08,66,100,6944,Mây u ám,Nắng
Bac Ninh,2023-11-30 12:29:01.000000 ,26.05,69,2.31,1017,26.05,22,100,10000,Mây u ám,Nắng
Hai Duong,2023-11-30 12:27:29.000000 ,24,73,1.14,1017,24.36,349,100,10000,Mây u ám,Nắng
Phan Thiet,2023-11-30 12:29:02.000000 ,32.06,56,9.63,1009,36.04,82,91,10000,Mây u ám,Nắng
Pleiku,2023-11-30 12:29:02.000000 ,27.47,57,5,1013,28.44,66,76,10000,Mây rải rác,Nắng
Nam Dinh,2023-11-30 12:29:02.000000 ,23.04,84,3.3,1017,23.59,10,100,10000,Mây u ám,Nắng
Ca Mau,2023-11-30 12:27:16.000000 ,29.96,73,5.5,1010,35.68,71,98,6967,Mây u ám,Nắng
Viet Tri,2023-11-30 12:27:30.000000 ,25.97,67,0.99,1018,25.97,331,100,10000,Mây u ám,Nắng
Soc Trang,2023-11-30 12:27:30.000000 ,30.97,64,7.58,1009,35.81,74,95,10000,Mây u ám,Nắng
Quang Ngai,2023-11-30 12:27:30.000000 ,27.16,81,3.01,1015,30.2,18,86,9221,Mây u ám,Nắng
Thai Binh,2023-11-30 12:27:30.000000 ,23.47,82,3.66,1017,24.01,31,100,10000,Mây u ám,Nắng
My Tho,2023-11-30 12:29:04.000000 ,31.57,62,3.97,1009,36.66,83,85,10000,Mây u ám,Nắng
Tuy Hoa,2023-11-30 12:27:31.000000 ,26.45,86,5.24,1014,26.45,18,100,10000,Mây u ám,Nắng
Bac Lieu,2023-11-30 12:29:04.000000 ,29.85,70,8.86,1010,34.68,75,95,10000,Mây u ám,Nắng
Thanh Pho Uong Bi,2023-11-30 12:29:05.000000 ,23.99,76,1.71,1017,24.43,43,100,10000,Mây u ám,Nắng
Bac Giang,2023-11-30 12:29:05.000000 ,26.04,67,3.86,1017,26.04,42,100,10000,Mây u ám,Nắng
Tay Ninh,2023-11-30 12:29:05.000000 ,32.54,56,3.25,1010,37.09,72,87,10000,Mây u ám,Nắng
Ninh Binh,2023-11-30 12:27:32.000000 ,22.91,85,4.04,1017,23.48,10,100,10000,Mây u ám,Nắng
Tan An,2023-11-30 12:29:06.000000 ,33.01,67,3.55,1009,40.01,87,82,8025,Mây rải rác,Nắng
Kon Tum,2023-11-30 12:29:06.000000 ,29,58,3.98,1013,30.73,67,69,10000,Mây rải rác,Nắng
Tam Ky,2023-11-30 12:29:06.000000 ,26.88,82,2.37,1015,29.65,39,96,9760,Mưa nhẹ,Mưa
Vinh Long,2023-11-30 12:27:33.000000 ,30.99,58,4.23,1009,34.34,76,70,7875,Mây rải rác,Nắng
Lao Cai,2023-11-30 12:29:06.000000 ,26.74,56,1.35,1018,27.52,106,84,10000,Mây rải rác,Nắng
Lagi,2023-11-30 12:27:33.000000 ,30.2,66,10.17,1010,34.55,80,83,10000,Mưa nhẹ,Mưa
Rach Gia,2023-11-30 12:27:28.000000 ,30.11,70,2.78,1010,35.31,51,100,10000,Mây u ám,Nắng
Con Son,2023-11-30 12:29:07.000000 ,26.89,88,9.93,1010,30.23,58,86,10000,Mưa vừa,Mưa
Cho Dok,2023-11-30 12:29:07.000000 ,32.4,57,3.6,1010,37.08,65,96,10000,Mây u ám,Nắng
Loc Ninh,2023-11-30 12:29:07.000000 ,33.81,46,2.17,1009,36.73,106,70,10000,Mây rải rác,Nắng
Phan Rang-Thap Cham,2023-11-30 12:27:34.000000 ,29.61,68,6.57,1011,33.68,36,94,10000,Mây u ám,Nắng
Kwang Binh,2023-11-30 12:29:08.000000 ,25.77,84,3.66,1015,26.6,6,95,10000,Mưa nhẹ,Mưa
Dien Bien Phu,2023-11-30 12:29:08.000000 ,28.08,50,0.94,1016,28.54,77,52,10000,Mây rải rác,Nắng
Turan,2023-11-30 12:29:08.000000 ,27.99,74,3.6,1015,31.19,360,40,10000,Mây rải rác,Nắng
Don Luan,2023-11-30 12:29:09.000000 ,33.67,50,1.57,1009,37.68,71,81,10000,Mây rải rác,Nắng
Loc Ninh,2023-11-30 12:29:07.000000 ,33.81,46,2.17,1009,36.73,106,70,10000,Mây rải rác,Nắng
Song Cau,2023-11-30 12:29:09.000000 ,26.47,85,5.3,1014,26.47,11,95,10000,Mây u ám,Nắng
Bim Son,2023-11-30 12:29:09.000000 ,23.54,83,4.49,1017,24.12,13,100,10000,Mây u ám,Nắng
Cu Chi,2023-11-30 12:29:10.000000 ,33.01,62,3.05,1010,40.01,80,72,10000,Mây rải rác,Nắng
Uyen Hung,2023-11-30 12:29:10.000000 ,32.78,56,2.27,1009,37.63,84,82,10000,Mây rải rác,Nắng
Ben Tre,2023-11-30 12:29:10.000000 ,31.87,58,4.34,1009,36.19,84,86,10000,Mây u ám,Nắng
Sa Dec,2023-11-30 12:29:11.000000 ,30.99,59,4.35,1009,34.58,75,87,10000,Mây u ám,Nắng
Ap Van Tu Tay,2023-11-30 12:27:36.000000 ,29.34,89,2.62,1013,36.34,6,96,10000,Mây u ám,Nắng
Song Cau,2023-11-30 12:29:09.000000 ,26.47,85,5.3,1014,26.47,11,95,10000,Mây u ám,Nắng
Ngo Chau,2023-11-30 12:27:36.000000 ,26.06,89,3.46,1014,26.06,21,95,10000,Mây u ám,Nắng
Hoi An,2023-11-30 12:27:36.000000 ,27.98,83,3.5,1015,32.52,40,94,10000,Mây u ám,Nắng
Dong Ha,2023-11-30 12:29:12.000000 ,26.77,82,3.34,1015,29.4,45,98,10000,Mây u ám,Nắng
Bim Son,2023-11-30 12:29:09.000000 ,23.54,83,4.49,1017,24.12,13,100,10000,Mây u ám,Nắng
Phu Ly,2023-11-30 12:29:12.000000 ,22.41,87,2.83,1017,22.98,354,100,10000,Mây u ám,Nắng
Hai Ha,2023-11-30 12:29:12.000000 ,22.29,88,1.11,1018,22.87,74,97,10000,Mây u ám,Nắng
Ha Dong,2023-11-30 12:29:12.000000 ,26.01,78,2.05,1018,26.01,315,100,10000,Mây u ám,Nắng
Hau Duong,2023-11-30 12:29:13.000000 ,26.02,65,2.06,1019,26.02,30,75,8000,Mây rải rác,Nắng
Yen Lap,2023-11-30 12:29:13.000000 ,26.08,63,1.41,1018,26.08,25,97,10000,Mây u ám,Nắng
Thanh Ba,2023-11-30 12:29:13.000000 ,25.33,63,1.69,1018,25.56,352,100,10000,Mây u ám,Nắng
Doan Hung,2023-11-30 12:29:13.000000 ,25.36,64,1.47,1018,25.62,354,100,10000,Mây u ám,Nắng
Son Duong,2023-11-30 12:29:14.000000 ,25.71,63,0.78,1018,25.98,31,100,10000,Mây u ám,Nắng
