Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-12-13 21:04:30.000000 ,29.01,79,1.54,1012,34.55,0,40,10000,Mây rải rác,Nắng
Hanoi,2023-12-13 21:01:33.000000 ,24,86,3.71,1017,24.7,130,9,10000,Không xác định,Nắng
Turan,2023-12-13 21:02:26.000000 ,24.99,88,1.54,1017,25.84,300,40,10000,Mây rải rác,Nắng
Haiphong,2023-12-13 21:01:30.000000 ,23.95,83,2.06,1017,24.57,110,49,8000,Mây rải rác,Nắng
Bien Hoa,2023-12-13 21:04:23.000000 ,28.99,73,1.69,1012,33.27,119,11,10000,Mây ít,Nắng
Can Tho,2023-12-13 21:04:39.000000 ,27.99,78,2.57,1012,31.77,80,75,8000,Mây rải rác,Nắng
Thu Dau Mot,2023-12-13 21:00:43.000000 ,29.03,79,1.54,1012,34.61,0,40,10000,Mây rải rác,Nắng
Di An,2023-12-13 21:04:39.000000 ,28.82,79,1.54,1012,34.04,0,40,10000,Mây rải rác,Nắng
Hue,2023-12-13 21:03:03.000000 ,25.06,88,1.03,1016,25.92,210,75,10000,Mây rải rác,Nắng
Vung Tau,2023-12-13 21:04:40.000000 ,27.26,78,8.84,1012,30.11,85,92,10000,Mây u ám,Nắng
Thu Dau Mot,2023-12-13 21:00:43.000000 ,29.03,79,1.54,1012,34.61,0,40,10000,Mây rải rác,Nắng
Nha Trang,2023-12-13 21:02:48.000000 ,27,85,2.65,1015,30.22,317,63,10000,Mây rải rác,Nắng
Ha Long,2023-12-13 21:02:04.000000 ,23.77,93,2.8,1018,24.63,67,33,10000,Mây rải rác,Nắng
Qui Nhon,2023-12-13 21:01:51.000000 ,24.28,86,3.74,1016,25.01,330,5,10000,Không xác định,Nắng
Thanh Hoa,2023-12-13 20:59:46.000000 ,22.79,82,2.08,1017,23.27,173,18,10000,Mây ít,Nắng
Thai Nguyen,2023-12-13 21:03:00.000000 ,23.88,88,2,1017,24.62,137,7,10000,Không xác định,Nắng
Buon Ma Thuot,2023-12-13 21:04:41.000000 ,21.68,83,3.52,1015,22.07,76,11,10000,Mây ít,Nắng
Long Xuyen,2023-12-13 21:04:41.000000 ,27.97,77,2.32,1012,31.58,102,100,10000,Mây u ám,Nắng
