Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-11-15 10:02:17.000000 ,30.01,84,2.06,1014,37.01,70,20,9000,Mây ít,Nắng
Hanoi,2023-11-15 09:58:54.000000 ,19,63,1.22,1022,18.6,52,100,10000,Mây u ám,Nắng
Turan,2023-11-15 10:00:54.000000 ,27.99,83,3.6,1018,32.54,70,40,10000,Mây rải rác,Nắng
Haiphong,2023-11-15 10:02:18.000000 ,22.95,73,2.57,1022,23.21,60,100,10000,Mây u ám,Nắng
Bien Hoa,2023-11-15 10:02:20.000000 ,29.99,69,1.13,1013,34.77,2,69,10000,Mây rải rác,Nắng
Can Tho,2023-11-15 10:02:21.000000 ,30.99,74,1.54,1014,37.99,0,20,10000,Mây ít,Nắng
Thu Dau Mot,2023-11-15 10:02:21.000000 ,30.03,84,2.06,1014,37.03,70,20,9000,Mây ít,Nắng
Di An,2023-11-15 10:02:21.000000 ,29.82,84,2.06,1014,36.82,70,20,9000,Mưa nhẹ,Mưa
Hue,2023-11-15 10:02:22.000000 ,25.06,100,6.17,1018,26.23,50,75,6000,Mây rải rác,Nắng
Vung Tau,2023-11-15 09:59:33.000000 ,28.72,72,3.87,1013,32.47,83,82,10000,Mây rải rác,Nắng
Thu Dau Mot,2023-11-15 10:02:21.000000 ,30.03,84,2.06,1014,37.03,70,20,9000,Mây ít,Nắng
Nha Trang,2023-11-15 10:02:16.000000 ,24,82,3.43,1016,24.6,24,88,7863,Mây u ám,Nắng
Ha Long,2023-11-15 10:02:23.000000 ,22.77,66,1.72,1022,22.83,65,100,10000,Mây u ám,Nắng
Qui Nhon,2023-11-15 09:57:56.000000 ,26.62,88,5.08,1016,26.62,27,91,5736,Mây u ám,Nắng
Thanh Hoa,2023-11-15 10:02:24.000000 ,20.32,76,1.95,1022,20.39,342,100,10000,Mây u ám,Nắng
Thai Nguyen,2023-11-15 09:57:57.000000 ,18.88,69,0.51,1022,18.63,44,100,10000,Mây u ám,Nắng
Buon Ma Thuot,2023-11-15 10:02:25.000000 ,28.43,60,4.95,1015,30.1,75,81,10000,Mưa nhẹ,Mưa
Long Xuyen,2023-11-15 09:57:54.000000 ,30.97,71,4.09,1013,37.82,7,19,10000,Mây ít,Nắng
Phu Khuong,2023-11-15 10:02:25.000000 ,29.03,71,2.82,1014,32.98,39,59,10000,Mây rải rác,Nắng
Vinh,2023-11-15 10:02:26.000000 ,20.99,80,2.73,1021,21.23,309,100,10000,Mây u ám,Nắng
Rach Gia,2023-11-15 10:02:26.000000 ,28.83,77,3.24,1013,33.67,11,29,10000,Mây rải rác,Nắng
Da Lat,2023-11-15 10:02:27.000000 ,20.83,78,2.44,1017,21.01,65,80,10000,Mưa vừa,Mưa
Bac Ninh,2023-11-15 09:57:49.000000 ,19.05,64,1.69,1022,18.68,42,100,10000,Mây u ám,Nắng
Hai Duong,2023-11-15 10:02:27.000000 ,23,66,1.25,1022,23.08,9,100,10000,Mây u ám,Nắng
Phan Thiet,2023-11-15 10:02:28.000000 ,30.06,65,3.93,1013,34.01,74,76,10000,Mưa vừa,Mưa
Pleiku,2023-11-15 10:02:28.000000 ,24.14,76,5.08,1017,24.59,58,72,10000,Mưa nhẹ,Mưa
Nam Dinh,2023-11-15 10:00:00.000000 ,21.88,70,2.58,1022,21.95,22,100,10000,Mây u ám,Nắng
Ca Mau,2023-11-15 10:02:29.000000 ,30.02,72,5.8,1013,35.58,73,58,10000,Mây rải rác,Nắng
Viet Tri,2023-11-15 10:02:30.000000 ,18.97,68,1.26,1022,18.7,121,100,10000,Mây u ám,Nắng
