Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-11-16 14:36:24.000000 ,30.01,74,4.63,1012,36.07,70,75,10000,Mưa vừa,Mưa
Hanoi,2023-11-16 14:39:52.000000 ,22,52,5.86,1026,21.61,5,100,10000,Mây u ám,Nắng
Turan,2023-11-16 14:39:52.000000 ,27.99,78,4.63,1018,31.77,30,75,7000,Mây rải rác,Nắng
Haiphong,2023-11-16 14:39:03.000000 ,20.95,56,4.12,1025,20.56,10,0,10000,Không xác định,Nắng
Bien Hoa,2023-11-16 14:39:52.000000 ,29.99,84,1.75,1011,36.99,30,100,10000,Mưa vừa,Mưa
Can Tho,2023-11-16 14:39:52.000000 ,29.99,74,6.69,1011,36.01,70,40,10000,Mưa nhẹ,Mưa
Thu Dau Mot,2023-11-16 14:39:52.000000 ,30.03,74,4.63,1012,36.12,70,75,10000,Mưa vừa,Mưa
Di An,2023-11-16 14:39:52.000000 ,29.82,74,4.63,1012,35.56,70,75,10000,Mưa vừa,Mưa
Hue,2023-11-16 14:39:52.000000 ,28.06,74,6.17,1018,31.34,40,75,10000,Mây rải rác,Nắng
Vung Tau,2023-11-16 14:39:52.000000 ,27.55,83,11.5,1011,31.39,71,100,10000,Không xác định,Mưa
Thu Dau Mot,2023-11-16 14:39:52.000000 ,30.03,74,4.63,1012,36.12,70,75,10000,Mưa vừa,Mưa
Nha Trang,2023-11-16 14:39:53.000000 ,27,90,3.9,1015,30.74,34,100,3797,Mưa vừa,Mưa
Ha Long,2023-11-16 14:39:53.000000 ,20.77,61,4.94,1025,20.5,12,100,10000,Mây u ám,Nắng
Qui Nhon,2023-11-16 14:39:53.000000 ,26.35,85,7.7,1016,26.35,32,99,10000,Mây u ám,Nắng
Thanh Hoa,2023-11-16 14:39:53.000000 ,18.4,59,8.22,1025,17.84,10,100,10000,Mây u ám,Nắng
Thai Nguyen,2023-11-16 14:39:53.000000 ,21.88,70,2.95,1027,21.95,339,100,10000,Mây u ám,Nắng
Buon Ma Thuot,2023-11-16 14:39:53.000000 ,24.32,81,4.04,1014,24.92,69,100,10000,Mưa nhẹ,Mưa
Long Xuyen,2023-11-16 14:39:53.000000 ,29.97,67,3.98,1011,34.26,82,100,10000,Mây u ám,Nắng
Phu Khuong,2023-11-16 14:39:53.000000 ,30.05,72,4.03,1011,35.66,63,100,8433,Mây u ám,Nắng
Vinh,2023-11-16 14:39:53.000000 ,17.13,83,5.98,1026,17.07,345,100,10000,Mây u ám,Nắng
Rach Gia,2023-11-16 14:39:53.000000 ,29.58,75,5.96,1011,35.17,86,100,6160,Mây u ám,Nắng
Da Lat,2023-11-16 14:39:53.000000 ,16.86,98,2.64,1016,17.16,48,100,1278,Mưa nhẹ,Mưa
Bac Ninh,2023-11-16 14:39:53.000000 ,22.05,53,7.32,1026,21.69,4,100,10000,Mây u ám,Nắng
Hai Duong,2023-11-16 14:39:53.000000 ,21,54,8.02,1026,20.57,5,100,10000,Mây u ám,Nắng
Phan Thiet,2023-11-16 14:39:53.000000 ,25.32,92,7.28,1012,26.31,65,100,10000,Mây u ám,Nắng
Pleiku,2023-11-16 14:39:53.000000 ,22.3,83,4.03,1016,22.75,50,100,10000,Mây u ám,Nắng
Nam Dinh,2023-11-16 14:39:53.000000 ,18.96,56,9.02,1025,18.37,3,100,10000,Mây u ám,Nắng
Ca Mau,2023-11-16 14:39:54.000000 ,29.07,80,6.25,1010,34.94,77,96,10000,Mây u ám,Nắng
Viet Tri,2023-11-16 14:39:54.000000 ,21.97,64,2.61,1027,21.89,350,100,10000,Mây u ám,Nắng
Soc Trang,2023-11-16 14:39:54.000000 ,28.62,81,8.26,1011,33.9,81,100,10000,Mây u ám,Nắng
Quang Ngai,2023-11-16 14:37:45.000000 ,25.53,87,6.16,1017,26.41,33,98,4738,Mây u ám,Nắng
Thai Binh,2023-11-16 14:39:54.000000 ,18.99,55,8.84,1025,18.38,1,100,10000,Mây u ám,Nắng
My Tho,2023-11-16 14:39:54.000000 ,27.97,83,4.24,1011,32.49,81,100,4951,Mưa nhẹ,Mưa
Tuy Hoa,2023-11-16 14:39:54.000000 ,25.73,88,6.21,1015,26.66,43,100,10000,Mưa vừa,Mưa
Bac Lieu,2023-11-16 14:39:54.000000 ,28.77,82,9.43,1011,34.52,74,99,10000,Mây u ám,Nắng
Thanh Pho Uong Bi,2023-11-16 14:39:54.000000 ,20.99,57,3.26,1025,20.63,10,100,10000,Mây u ám,Nắng
Bac Giang,2023-11-16 14:39:54.000000 ,22.04,52,7.52,1026,21.66,9,100,10000,Mây u ám,Nắng
Tay Ninh,2023-11-16 14:39:54.000000 ,30.34,71,4.07,1011,36.14,59,100,9565,Mây u ám,Nắng
Ninh Binh,2023-11-16 14:39:54.000000 ,18.81,56,8.27,1025,18.21,4,100,10000,Mây u ám,Nắng
Tan An,2023-11-16 14:39:54.000000 ,30.01,84,3.72,1011,37.01,74,100,5076,Mưa nhẹ,Mưa
Kon Tum,2023-11-16 14:39:54.000000 ,23.99,83,3.18,1016,24.61,59,92,10000,Mây u ám,Nắng
Tam Ky,2023-11-16 14:39:54.000000 ,25.6,87,7.45,1018,26.49,41,94,4462,Mây u ám,Nắng
Vinh Long,2023-11-16 14:39:55.000000 ,29.99,73,4.59,1011,35.76,86,100,7447,Mưa nhẹ,Mưa
Lao Cai,2023-11-16 14:39:55.000000 ,18.64,67,0.16,1028,18.31,42,100,10000,Mây u ám,Nắng
Lagi,2023-11-16 14:39:55.000000 ,26,88,9.66,1012,26,62,100,10000,Mưa vừa,Mưa
Rach Gia,2023-11-16 14:39:53.000000 ,29.58,75,5.96,1011,35.17,86,100,6160,Mây u ám,Nắng
Con Son,2023-11-16 14:39:55.000000 ,27.84,87,11.35,1011,32.76,57,100,10000,Mây u ám,Nắng
Cho Dok,2023-11-16 14:39:55.000000 ,29.99,71,3.46,1011,35.26,76,100,5718,Mây u ám,Nắng
Loc Ninh,2023-11-16 14:39:55.000000 ,27.38,77,2.94,1011,30.26,43,96,10000,Mưa nhẹ,Mưa
Phan Rang-Thap Cham,2023-11-16 14:39:55.000000 ,24.79,94,4.73,1014,25.78,25,100,9694,Mưa nhẹ,Mưa
Kwang Binh,2023-11-16 14:39:55.000000 ,21.8,90,11.55,1022,22.39,14,100,7126,Mây u ám,Nắng
Dien Bien Phu,2023-11-16 14:39:55.000000 ,19.48,93,1.78,1022,19.91,62,100,10000,Mây u ám,Nắng
Turan,2023-11-16 14:39:55.000000 ,27.99,78,4.63,1018,31.77,30,75,7000,Mây rải rác,Nắng
Don Luan,2023-11-16 14:39:55.000000 ,27.75,86,2.64,1011,32.35,41,100,10000,Mưa vừa,Mưa
Loc Ninh,2023-11-16 14:39:55.000000 ,27.38,77,2.94,1011,30.26,43,96,10000,Mưa nhẹ,Mưa
