Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-11-20 09:40:58.000000 ,27.01,74,2.06,1013,29.22,0,40,9000,Mây rải rác,Nắng
Hanoi,2023-11-20 09:40:58.000000 ,21,49,2.01,1021,20.43,316,7,10000,Không xác định,Nắng
Turan,2023-11-20 09:44:23.000000 ,24.99,73,2.06,1018,25.45,360,75,10000,Mây rải rác,Nắng
Haiphong,2023-11-20 09:44:23.000000 ,23.95,50,0,1020,23.71,0,10,7000,Không xác định,Nắng
Bien Hoa,2023-11-20 09:44:23.000000 ,26.99,72,2.05,1013,29.01,323,91,10000,Mây u ám,Nắng
Can Tho,2023-11-20 09:44:23.000000 ,25.99,73,2.57,1013,25.99,350,20,10000,Mây ít,Nắng
Thu Dau Mot,2023-11-20 09:44:24.000000 ,27.03,74,2.06,1013,29.25,0,40,9000,Mây rải rác,Nắng
Di An,2023-11-20 09:44:24.000000 ,26.82,74,2.06,1013,28.86,0,40,9000,Mây rải rác,Nắng
Hue,2023-11-20 09:44:24.000000 ,22.06,88,3.09,1018,22.62,260,75,10000,Mây rải rác,Nắng
Vung Tau,2023-11-20 09:44:24.000000 ,27.12,77,2.46,1013,29.71,304,90,10000,Mây u ám,Nắng
Thu Dau Mot,2023-11-20 09:44:24.000000 ,27.03,74,2.06,1013,29.25,0,40,9000,Mây rải rác,Nắng
Nha Trang,2023-11-20 09:44:24.000000 ,29,71,4.11,1015,32.91,358,100,10000,Mây u ám,Nắng
Ha Long,2023-11-20 09:44:24.000000 ,23.77,41,1,1020,23.27,122,6,10000,Không xác định,Nắng
Qui Nhon,2023-11-20 09:44:25.000000 ,24.77,83,7.18,1016,25.47,4,100,10000,Mây u ám,Nắng
Thanh Hoa,2023-11-20 09:44:25.000000 ,23.81,55,1.26,1020,23.68,352,42,10000,Mây rải rác,Nắng
Thai Nguyen,2023-11-20 09:44:25.000000 ,20.88,45,0.99,1021,20.2,302,2,10000,Không xác định,Nắng
Buon Ma Thuot,2023-11-20 09:40:20.000000 ,23.74,72,3.53,1016,24.05,59,100,10000,Mây u ám,Nắng
Long Xuyen,2023-11-20 09:44:25.000000 ,25.97,64,4.13,1013,25.97,8,48,10000,Mây rải rác,Nắng
Phu Khuong,2023-11-20 09:44:25.000000 ,26.54,65,3.29,1014,26.54,24,90,10000,Mây u ám,Nắng
Vinh,2023-11-20 09:44:26.000000 ,22.01,69,2.48,1021,22.07,324,64,10000,Mây rải rác,Nắng
Rach Gia,2023-11-20 09:44:26.000000 ,26.03,71,5.14,1013,26.03,22,90,10000,Mây u ám,Nắng
Da Lat,2023-11-20 09:44:26.000000 ,21.58,63,1.37,1015,21.44,34,100,10000,Mây u ám,Nắng
Bac Ninh,2023-11-20 09:44:26.000000 ,21.05,48,1.87,1021,20.46,318,4,10000,Không xác định,Nắng
Hai Duong,2023-11-20 09:44:26.000000 ,24,45,2.2,1020,23.63,324,10,10000,Không xác định,Nắng
Phan Thiet,2023-11-20 09:44:26.000000 ,28.02,67,0.72,1013,30.31,85,94,10000,Mây u ám,Nắng
Pleiku,2023-11-20 09:44:26.000000 ,23.05,64,4.42,1016,23.08,52,100,10000,Mây u ám,Nắng
Nam Dinh,2023-11-20 09:44:26.000000 ,23.47,50,1.71,1020,23.18,353,39,10000,Mây rải rác,Nắng
Ca Mau,2023-11-20 09:44:27.000000 ,27.58,69,2.44,1013,29.77,9,100,10000,Mây u ám,Nắng
Viet Tri,2023-11-20 09:44:27.000000 ,20.97,50,2.09,1021,20.43,312,3,10000,Không xác định,Nắng
Soc Trang,2023-11-20 09:44:27.000000 ,26.46,77,2.07,1013,26.46,327,100,10000,Mây u ám,Nắng
Quang Ngai,2023-11-20 09:44:27.000000 ,23.31,86,2.94,1018,23.94,349,100,10000,Mây u ám,Nắng
Thai Binh,2023-11-20 09:44:27.000000 ,23.56,48,1.64,1020,23.22,356,39,10000,Mây rải rác,Nắng
My Tho,2023-11-20 09:44:27.000000 ,28.29,68,1.72,1013,30.95,312,84,10000,Mây rải rác,Nắng
Tuy Hoa,2023-11-20 09:44:27.000000 ,24.47,86,5.46,1016,25.22,7,99,9209,Mây u ám,Nắng
