Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-11-27 16:11:57.000000 ,32.01,45,5.14,1008,33.26,70,0,10000,Không xác định,Nắng
Hanoi,2023-11-27 16:07:21.000000 ,28,41,0.83,1015,27.73,39,52,10000,Mây rải rác,Nắng
Turan,2023-11-27 16:09:12.000000 ,25.99,65,5.66,1016,25.99,360,20,10000,Mây ít,Nắng
Haiphong,2023-11-27 16:11:57.000000 ,25.95,65,4.63,1016,25.95,130,0,10000,Không xác định,Nắng
Bien Hoa,2023-11-27 16:11:57.000000 ,31.99,74,1.36,1008,38.99,198,94,10000,Mây u ám,Nắng
Can Tho,2023-11-27 16:11:57.000000 ,29.99,74,1.03,1008,36.01,0,40,8000,Mây rải rác,Nắng
Thu Dau Mot,2023-11-27 16:11:57.000000 ,32.03,45,5.14,1008,33.29,70,0,10000,Không xác định,Nắng
Di An,2023-11-27 16:11:58.000000 ,31.82,45,5.14,1008,32.95,70,0,10000,Không xác định,Nắng
Hue,2023-11-27 16:11:58.000000 ,26.06,65,3.6,1016,26.06,40,40,10000,Mây rải rác,Nắng
Vung Tau,2023-11-27 16:11:58.000000 ,28.09,74,3.62,1008,31.41,72,96,10000,Mây u ám,Nắng
Thu Dau Mot,2023-11-27 16:11:57.000000 ,32.03,45,5.14,1008,33.29,70,0,10000,Không xác định,Nắng
Nha Trang,2023-11-27 16:11:34.000000 ,28,74,7.03,1012,31.21,15,100,10000,Mây u ám,Nắng
Ha Long,2023-11-27 16:11:58.000000 ,25.77,65,2.99,1016,26.1,118,48,10000,Mây rải rác,Nắng
Qui Nhon,2023-11-27 16:07:07.000000 ,24.64,80,8.79,1013,25.25,7,97,10000,Mây u ám,Nắng
Thanh Hoa,2023-11-27 16:11:59.000000 ,24.85,65,3.68,1016,25.09,119,57,10000,Mây rải rác,Nắng
Thai Nguyen,2023-11-27 16:11:59.000000 ,27.88,53,0.6,1015,28.58,181,71,10000,Mây rải rác,Nắng
Buon Ma Thuot,2023-11-27 16:11:59.000000 ,24.26,66,4.19,1012,24.46,75,80,10000,Mây rải rác,Nắng
Long Xuyen,2023-11-27 16:11:59.000000 ,29.97,65,2.68,1008,33.82,63,100,10000,Mây u ám,Nắng
Phu Khuong,2023-11-27 16:11:59.000000 ,30.07,59,1.68,1008,32.77,39,87,10000,Mây u ám,Nắng
Vinh,2023-11-27 16:11:59.000000 ,24.29,74,3.18,1016,24.71,60,55,10000,Mây rải rác,Nắng
Rach Gia,2023-11-27 16:11:15.000000 ,28.02,78,2.73,1008,31.84,88,90,8216,Mây u ám,Nắng
Da Lat,2023-11-27 16:11:59.000000 ,18.99,75,2.2,1012,18.9,45,100,10000,Mây u ám,Nắng
Bac Ninh,2023-11-27 16:12:00.000000 ,28.05,40,0.31,1015,27.71,94,33,10000,Mây rải rác,Nắng
Hai Duong,2023-11-27 16:11:14.000000 ,26,45,2.25,1015,26,116,80,10000,Mây rải rác,Nắng
Phan Thiet,2023-11-27 16:12:00.000000 ,30.63,58,8.56,1007,33.62,82,40,10000,Mây rải rác,Nắng
Pleiku,2023-11-27 16:12:00.000000 ,23.83,55,4.25,1012,23.7,39,53,10000,Mây rải rác,Nắng
Nam Dinh,2023-11-27 16:12:00.000000 ,26.55,55,4.54,1015,26.55,130,65,10000,Mây rải rác,Nắng
Ca Mau,2023-11-27 16:12:00.000000 ,26.41,86,4.07,1008,26.41,80,100,10000,Mây u ám,Nắng
