Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-11-17 19:09:35.000000 ,28.01,65,3.09,1012,30.05,60,75,10000,Mây rải rác,Nắng
Hanoi,2023-11-17 19:07:31.000000 ,20,44,1.9,1023,19.2,33,61,10000,Mây rải rác,Nắng
Turan,2023-11-17 19:10:40.000000 ,20.99,78,6.17,1021,21.18,360,75,10000,Mưa nhẹ,Mưa
Haiphong,2023-11-17 19:07:01.000000 ,20.95,43,2.57,1022,20.22,50,0,10000,Không xác định,Nắng
Bien Hoa,2023-11-17 19:10:40.000000 ,27.99,86,1.67,1013,33.03,4,77,10000,Mây rải rác,Nắng
Can Tho,2023-11-17 19:10:40.000000 ,24.99,94,1.54,1012,26,0,75,8000,Mây rải rác,Nắng
Thu Dau Mot,2023-11-17 19:10:40.000000 ,28.03,65,3.09,1012,30.08,60,75,10000,Mây rải rác,Nắng
Di An,2023-11-17 19:10:40.000000 ,27.82,65,3.09,1012,29.73,60,75,10000,Mây rải rác,Nắng
Hue,2023-11-17 19:06:44.000000 ,21.06,83,1.03,1022,21.39,220,75,8000,Mây rải rác,Nắng
Vung Tau,2023-11-17 19:10:41.000000 ,27.05,81,7.64,1012,29.95,73,19,10000,Mây ít,Nắng
Thu Dau Mot,2023-11-17 19:10:40.000000 ,28.03,65,3.09,1012,30.08,60,75,10000,Mây rải rác,Nắng
Nha Trang,2023-11-17 19:10:41.000000 ,27,87,6.57,1017,30.43,1,97,10000,Mây u ám,Nắng
Ha Long,2023-11-17 19:10:41.000000 ,20.77,48,1.37,1023,20.16,27,18,10000,Mây ít,Nắng
Qui Nhon,2023-11-17 19:10:41.000000 ,24.29,77,10.3,1018,24.79,359,99,10000,Mây u ám,Nắng
Thanh Hoa,2023-11-17 19:10:42.000000 ,19.51,55,2.28,1023,18.95,355,35,10000,Mây rải rác,Nắng
Thai Nguyen,2023-11-17 19:10:42.000000 ,19.88,51,1.96,1024,19.26,49,74,10000,Mây rải rác,Nắng
Buon Ma Thuot,2023-11-17 19:10:42.000000 ,20.07,84,3.3,1017,20.33,68,84,10000,Mây rải rác,Nắng
Long Xuyen,2023-11-17 19:10:42.000000 ,24.97,81,3.46,1013,25.64,58,65,10000,Mây rải rác,Nắng
Phu Khuong,2023-11-17 19:10:43.000000 ,26.22,69,5.54,1013,26.22,44,78,10000,Mây rải rác,Nắng
Vinh,2023-11-17 19:10:43.000000 ,20.12,57,1.69,1023,19.68,358,53,10000,Mây rải rác,Nắng
Rach Gia,2023-11-17 19:10:43.000000 ,26.48,82,3.78,1013,26.48,52,61,10000,Mưa vừa,Mưa
Da Lat,2023-11-17 19:10:43.000000 ,15.03,97,2.54,1017,15.12,37,91,8249,Mưa nhẹ,Mưa
Bac Ninh,2023-11-17 19:10:43.000000 ,20.05,41,3.45,1023,19.18,41,60,10000,Mây rải rác,Nắng
Hai Duong,2023-11-17 19:10:43.000000 ,21,42,3.12,1023,20.25,33,27,10000,Mây rải rác,Nắng
Phan Thiet,2023-11-17 19:10:44.000000 ,26.31,74,5.53,1013,26.31,70,27,10000,Mây rải rác,Nắng
Pleiku,2023-11-17 19:10:44.000000 ,18.64,80,3.63,1018,18.65,42,90,10000,Mây u ám,Nắng
Nam Dinh,2023-11-17 19:10:00.000000 ,20.77,48,2.73,1023,20.16,63,20,10000,Mây ít,Nắng
Ca Mau,2023-11-17 19:10:44.000000 ,26.09,83,5.73,1013,26.09,76,66,10000,Mây rải rác,Nắng
Viet Tri,2023-11-17 19:08:29.000000 ,19.97,51,1,1023,19.35,280,79,10000,Mây rải rác,Nắng
Soc Trang,2023-11-17 19:10:45.000000 ,25.95,83,5.19,1013,25.95,71,45,10000,Mây rải rác,Nắng
Quang Ngai,2023-11-17 19:10:45.000000 ,21.58,87,4.73,1021,22.07,351,100,10000,Mây u ám,Nắng
Thai Binh,2023-11-17 19:10:45.000000 ,21.01,48,3.13,1023,20.42,78,14,10000,Mây ít,Nắng
My Tho,2023-11-17 19:10:45.000000 ,24.77,93,1.32,1013,25.73,115,68,10000,Mây rải rác,Nắng
Tuy Hoa,2023-11-17 19:10:46.000000 ,23.96,84,8.34,1018,24.6,4,99,10000,Mây u ám,Nắng
Bac Lieu,2023-11-17 19:10:46.000000 ,26.92,80,8.6,1013,29.56,72,52,10000,Mây rải rác,Nắng
Thanh Pho Uong Bi,2023-11-17 19:10:46.000000 ,20.99,47,1.83,1023,20.37,41,25,10000,Mây rải rác,Nắng
Bac Giang,2023-11-17 19:10:46.000000 ,20.04,41,3.4,1023,19.17,36,59,10000,Mây rải rác,Nắng
Tay Ninh,2023-11-17 19:10:46.000000 ,26.24,70,5.13,1013,26.24,44,73,10000,Mây rải rác,Nắng
