Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-12-06 20:21:08.000000 ,29.01,79,2.57,1012,34.55,170,0,10000,Không xác định,Nắng
Hanoi,2023-12-06 20:18:58.000000 ,20,80,2.72,1021,20.14,323,100,10000,Mây u ám,Nắng
Turan,2023-12-06 20:15:36.000000 ,24.99,83,1.03,1017,25.71,290,40,10000,Mây rải rác,Nắng
Haiphong,2023-12-06 20:24:24.000000 ,20.95,64,2.06,1020,20.77,30,0,10000,Không xác định,Nắng
Bien Hoa,2023-12-06 20:20:08.000000 ,28.99,86,2.73,1011,35.99,165,50,10000,Mây rải rác,Nắng
Can Tho,2023-12-06 20:18:27.000000 ,27.99,83,2.57,1012,32.54,100,75,8000,Mây rải rác,Nắng
Thu Dau Mot,2023-12-06 20:21:05.000000 ,29.03,79,2.57,1012,34.61,170,0,10000,Không xác định,Nắng
Di An,2023-12-06 20:25:10.000000 ,28.82,79,2.57,1012,34.04,170,0,10000,Không xác định,Nắng
Hue,2023-12-06 20:12:28.000000 ,25.06,88,1.03,1016,25.92,80,75,10000,Mây rải rác,Nắng
Vung Tau,2023-12-06 20:20:39.000000 ,26.49,83,8.05,1011,26.49,94,23,10000,Mây ít,Nắng
Thu Dau Mot,2023-12-06 20:21:05.000000 ,29.03,79,2.57,1012,34.61,170,0,10000,Không xác định,Nắng
Nha Trang,2023-12-06 20:20:14.000000 ,27,90,3.59,1014,30.74,5,99,10000,Mây u ám,Nắng
Ha Long,2023-12-06 20:22:20.000000 ,20.77,65,2.82,1020,20.6,4,100,10000,Mây u ám,Nắng
Qui Nhon,2023-12-06 20:25:11.000000 ,24.92,87,5.26,1015,25.74,15,71,10000,Mây rải rác,Nắng
Thanh Hoa,2023-12-06 20:24:13.000000 ,19.78,74,3.08,1020,19.75,5,100,10000,Mây u ám,Nắng
Thai Nguyen,2023-12-06 20:23:29.000000 ,19.88,70,1.51,1021,19.75,350,100,10000,Mây u ám,Nắng
Buon Ma Thuot,2023-12-06 20:25:12.000000 ,22.3,84,4.43,1014,22.78,76,97,10000,Mây u ám,Nắng
Long Xuyen,2023-12-06 20:20:44.000000 ,27.97,81,4.04,1011,32.18,158,100,10000,Mây u ám,Nắng
Phu Khuong,2023-12-06 20:25:12.000000 ,26.3,83,2.57,1011,26.3,177,100,10000,Mây u ám,Nắng
Vinh,2023-12-06 20:17:40.000000 ,19.26,86,3.55,1020,19.49,327,100,10000,Mây u ám,Nắng
Rach Gia,2023-12-06 20:25:12.000000 ,26.37,84,4.81,1012,26.37,147,96,10000,Mây u ám,Nắng
Da Lat,2023-12-06 20:20:14.000000 ,16.09,97,1.65,1016,16.29,53,96,10000,Mây u ám,Nắng
Bac Ninh,2023-12-06 20:24:35.000000 ,20.05,63,3,1021,19.76,348,100,10000,Mây u ám,Nắng
Hai Duong,2023-12-06 20:20:09.000000 ,21,56,4.08,1020,20.62,358,100,10000,Mây u ám,Nắng
Phan Thiet,2023-12-06 20:24:26.000000 ,25.19,88,4.56,1011,26.06,68,17,10000,Mây ít,Nắng
Pleiku,2023-12-06 20:20:44.000000 ,19.66,94,3.05,1015,20.14,71,100,10000,Mây u ám,Nắng
Nam Dinh,2023-12-06 20:25:13.000000 ,20.88,62,4.97,1020,20.64,5,100,10000,Mây u ám,Nắng
Ca Mau,2023-12-06 20:21:41.000000 ,24.74,89,2.96,1012,25.59,80,82,10000,Mây rải rác,Nắng
Viet Tri,2023-12-06 20:20:02.000000 ,19.97,88,1.75,1021,20.32,305,100,10000,Mây u ám,Nắng
Soc Trang,2023-12-06 20:20:56.000000 ,25.36,83,3.89,1012,26.12,98,77,10000,Mây rải rác,Nắng
Quang Ngai,2023-12-06 20:25:14.000000 ,23.84,91,2.12,1016,24.66,10,83,10000,Mây rải rác,Nắng
Thai Binh,2023-12-06 20:21:39.000000 ,20.83,61,4.9,1020,20.56,5,100,10000,Mây u ám,Nắng
My Tho,2023-12-06 20:25:04.000000 ,24.98,89,3.15,1012,25.86,129,11,10000,Mây ít,Nắng
Tuy Hoa,2023-12-06 20:21:27.000000 ,24.65,89,3.34,1015,25.49,27,100,10000,Mây u ám,Nắng
Bac Lieu,2023-12-06 20:20:14.000000 ,26,83,5.14,1012,26,85,80,10000,Mây rải rác,Nắng
Thanh Pho Uong Bi,2023-12-06 20:17:27.000000 ,20.99,70,1.84,1020,20.97,348,100,10000,Mây u ám,Nắng
Bac Giang,2023-12-06 20:22:03.000000 ,20.04,56,3.11,1021,19.56,359,100,10000,Mây u ám,Nắng
Tay Ninh,2023-12-06 20:24:45.000000 ,26.49,83,2.46,1011,26.49,177,100,10000,Mây u ám,Nắng
Ninh Binh,2023-12-06 20:20:41.000000 ,20.53,67,3.82,1020,20.39,3,100,10000,Mây u ám,Nắng
Tan An,2023-12-06 20:24:43.000000 ,29.01,90,3.6,1011,36.01,142,15,10000,Mây ít,Nắng
Kon Tum,2023-12-06 20:25:15.000000 ,20.89,91,1.6,1015,21.41,71,97,10000,Mây u ám,Nắng
Tam Ky,2023-12-06 20:25:15.000000 ,24.03,89,1.74,1016,24.81,40,44,8547,Mây rải rác,Nắng
Vinh Long,2023-12-06 20:20:59.000000 ,27.99,91,3.24,1011,33.89,137,17,10000,Mây ít,Nắng
Lao Cai,2023-12-06 20:20:52.000000 ,19.21,75,0.27,1022,19.14,110,100,10000,Mây u ám,Nắng
Lagi,2023-12-06 20:25:15.000000 ,25.43,88,5.72,1011,26.33,70,14,10000,Mây ít,Nắng
