Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-11-29 09:22:24.000000 ,29.01,74,1.54,1011,33.52,0,20,10000,Mây ít,Nắng
Hanoi,2023-11-29 09:23:53.000000 ,22,70,1.15,1018,22.08,112,11,10000,Mây ít,Nắng
Turan,2023-11-29 09:26:35.000000 ,23.99,88,1.54,1016,24.74,230,75,6000,Mây rải rác,Nắng
Haiphong,2023-11-29 09:26:36.000000 ,23.95,73,2.06,1017,24.31,60,19,8000,Mây ít,Nắng
Bien Hoa,2023-11-29 09:26:36.000000 ,28.99,70,0.83,1011,32.71,65,79,10000,Mây rải rác,Nắng
Can Tho,2023-11-29 09:26:36.000000 ,25.99,83,1.54,1011,25.99,0,75,8000,Mây rải rác,Nắng
Thu Dau Mot,2023-11-29 09:26:39.000000 ,29.03,74,1.54,1011,33.57,0,20,10000,Mây ít,Nắng
Di An,2023-11-29 09:26:41.000000 ,28.82,74,1.54,1011,33.06,0,20,10000,Mây ít,Nắng
Hue,2023-11-29 09:25:24.000000 ,22.06,100,1.03,1017,22.93,110,75,2000,Không xác định,Nắng
Vung Tau,2023-11-29 09:26:44.000000 ,27.62,74,6.25,1011,30.42,79,87,10000,Mây u ám,Nắng
Thu Dau Mot,2023-11-29 09:26:39.000000 ,29.03,74,1.54,1011,33.57,0,20,10000,Mây ít,Nắng
Nha Trang,2023-11-29 09:26:48.000000 ,29,76,3.04,1014,33.9,2,75,10000,Mây rải rác,Nắng
Ha Long,2023-11-29 09:26:49.000000 ,23.77,70,2.25,1018,24.03,74,8,10000,Không xác định,Nắng
Qui Nhon,2023-11-29 09:26:51.000000 ,25.26,82,5.54,1015,25.98,354,97,10000,Mây u ám,Nắng
Thanh Hoa,2023-11-29 09:24:22.000000 ,23.08,74,2.03,1017,23.38,323,7,10000,Không xác định,Nắng
Thai Nguyen,2023-11-29 09:26:15.000000 ,21.88,72,0.51,1018,22,126,22,10000,Mây ít,Nắng
Buon Ma Thuot,2023-11-29 09:26:51.000000 ,24.43,73,4.6,1013,24.83,71,88,10000,Mây u ám,Nắng
Long Xuyen,2023-11-29 09:26:52.000000 ,25.97,69,3.56,1011,25.97,36,100,10000,Mây u ám,Nắng
Phu Khuong,2023-11-29 09:26:52.000000 ,27.35,66,3.08,1011,29.07,53,96,10000,Mây u ám,Nắng
Vinh,2023-11-29 09:26:52.000000 ,22.49,79,1.46,1018,22.86,315,11,10000,Mây ít,Nắng
Rach Gia,2023-11-29 09:26:52.000000 ,25.51,78,4.63,1011,26.15,41,100,10000,Mây u ám,Nắng
Da Lat,2023-11-29 09:26:52.000000 ,21.08,71,2.74,1014,21.1,73,75,10000,Mây rải rác,Nắng
Bac Ninh,2023-11-29 09:26:53.000000 ,22.05,69,1.64,1018,22.11,86,20,10000,Mây ít,Nắng
Hai Duong,2023-11-29 09:26:54.000000 ,24,68,1.77,1018,24.23,101,36,10000,Mây rải rác,Nắng
Phan Thiet,2023-11-29 09:26:56.000000 ,28.21,68,4.58,1011,30.8,66,80,10000,Mây rải rác,Nắng
Pleiku,2023-11-29 09:26:56.000000 ,24.79,62,4.87,1014,24.94,54,13,10000,Mây ít,Nắng
Nam Dinh,2023-11-29 09:26:58.000000 ,23.93,71,1.2,1018,24.23,71,28,10000,Mây rải rác,Nắng
Ca Mau,2023-11-29 09:26:59.000000 ,26.72,79,3.39,1011,29.05,54,100,10000,Mây u ám,Nắng
Viet Tri,2023-11-29 09:26:59.000000 ,21.97,72,0.44,1018,22.1,187,11,10000,Mây ít,Nắng
Soc Trang,2023-11-29 09:26:59.000000 ,27.79,78,5.67,1011,31.3,72,100,10000,Mây u ám,Nắng
Quang Ngai,2023-11-29 09:26:59.000000 ,24.6,82,2.9,1016,25.26,311,94,10000,Mây u ám,Nắng
Thai Binh,2023-11-29 09:26:59.000000 ,24.01,71,1.84,1018,24.32,75,46,10000,Mây rải rác,Nắng
My Tho,2023-11-29 09:26:59.000000 ,27.36,77,1.23,1011,30.22,81,100,10000,Mây u ám,Nắng
Tuy Hoa,2023-11-29 09:27:00.000000 ,24.31,88,3.34,1015,25.09,1,96,10000,Mây u ám,Nắng
Bac Lieu,2023-11-29 09:27:01.000000 ,27.56,79,7.49,1011,30.9,66,100,10000,Mây u ám,Nắng
Thanh Pho Uong Bi,2023-11-29 09:27:02.000000 ,23.99,65,1.45,1018,24.14,116,7,10000,Không xác định,Nắng
Bac Giang,2023-11-29 09:27:02.000000 ,22.04,67,1.51,1018,22.05,78,22,10000,Mây ít,Nắng
Tay Ninh,2023-11-29 09:27:02.000000 ,27.45,66,3.03,1011,29.23,53,95,10000,Mây u ám,Nắng
Ninh Binh,2023-11-29 09:27:02.000000 ,24.08,70,0.69,1018,24.37,50,9,10000,Không xác định,Nắng
Tan An,2023-11-29 09:27:05.000000 ,29.01,76,0.96,1011,33.92,78,100,10000,Mây u ám,Nắng
Kon Tum,2023-11-29 09:27:07.000000 ,25.65,65,2.86,1014,25.97,48,41,10000,Mây rải rác,Nắng
Tam Ky,2023-11-29 09:27:08.000000 ,22.52,89,2.44,1016,23.15,294,100,10000,Mây u ám,Nắng
Vinh Long,2023-11-29 09:27:08.000000 ,25.99,74,1.7,1011,25.99,47,100,10000,Mây u ám,Nắng
Lao Cai,2023-11-29 09:27:08.000000 ,21.51,66,0.5,1019,21.44,50,33,10000,Mây rải rác,Nắng
Lagi,2023-11-29 09:27:08.000000 ,27.7,72,5.6,1011,30.34,67,55,10000,Mây rải rác,Nắng
Rach Gia,2023-11-29 09:26:52.000000 ,25.51,78,4.63,1011,26.15,41,100,10000,Mây u ám,Nắng
Con Son,2023-11-29 09:27:09.000000 ,26.75,89,11.62,1010,29.94,63,100,10000,Mây u ám,Nắng
Cho Dok,2023-11-29 09:27:09.000000 ,25.96,70,3.87,1012,25.96,20,100,10000,Mây u ám,Nắng
Loc Ninh,2023-11-29 09:27:10.000000 ,29.04,62,1.97,1011,31.42,61,37,10000,Mây rải rác,Nắng
Phan Rang-Thap Cham,2023-11-29 09:27:10.000000 ,28.31,69,4.7,1012,31.13,23,43,10000,Mây rải rác,Nắng
Kwang Binh,2023-11-29 09:27:11.000000 ,22.04,86,2.95,1017,22.55,319,100,10000,Mây u ám,Nắng
Dien Bien Phu,2023-11-29 09:27:11.000000 ,21.19,64,0.07,1018,21.04,25,36,10000,Mây rải rác,Nắng
Turan,2023-11-29 09:26:59.000000 ,23.99,88,1.54,1016,24.74,230,75,6000,Mây rải rác,Nắng
Don Luan,2023-11-29 09:27:11.000000 ,29.41,66,2.19,1011,32.84,72,58,10000,Mây rải rác,Nắng
Loc Ninh,2023-11-29 09:27:10.000000 ,29.04,62,1.97,1011,31.42,61,37,10000,Mây rải rác,Nắng
Song Cau,2023-11-29 09:27:11.000000 ,25.22,81,4.86,1015,25.91,360,97,10000,Mây u ám,Nắng
