Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-11-14 07:57:58.000000 ,29.01,89,1.03,1013,36.01,0,20,10000,Mây ít,Nắng
Hanoi,2023-11-14 07:56:38.000000 ,17,71,2.27,1024,16.61,25,100,10000,Mây u ám,Nắng
Turan,2023-11-14 07:55:08.000000 ,25.99,89,5.66,1018,25.99,40,75,10000,Mây rải rác,Nắng
Haiphong,2023-11-14 07:59:49.000000 ,17.95,72,2.57,1023,17.68,360,100,10000,Mây u ám,Nắng
Bien Hoa,2023-11-14 08:01:27.000000 ,28.99,79,1.78,1013,34.5,67,58,10000,Mây rải rác,Nắng
Can Tho,2023-11-14 07:53:33.000000 ,27.99,81,2.06,1013,32.23,30,0,10000,Không xác định,Nắng
Thu Dau Mot,2023-11-14 08:00:56.000000 ,29.03,89,1.03,1013,36.03,0,20,10000,Mây ít,Nắng
Di An,2023-11-14 08:01:28.000000 ,28.82,89,1.03,1013,35.82,0,20,10000,Mây ít,Nắng
Hue,2023-11-14 07:50:55.000000 ,26.06,89,6.17,1019,26.06,40,75,8000,Mây rải rác,Nắng
Vung Tau,2023-11-14 07:55:41.000000 ,27.12,77,1.74,1013,29.71,49,85,10000,Mây u ám,Nắng
Thu Dau Mot,2023-11-14 08:00:56.000000 ,29.03,89,1.03,1013,36.03,0,20,10000,Mây ít,Nắng
Nha Trang,2023-11-14 07:57:19.000000 ,25,91,2.68,1016,25.93,354,100,4241,Mưa nhẹ,Mưa
Ha Long,2023-11-14 07:57:47.000000 ,17.77,70,2.02,1024,17.43,27,100,10000,Mây u ám,Nắng
Qui Nhon,2023-11-14 08:00:33.000000 ,26.15,88,6.38,1016,26.15,30,94,9668,Mây u ám,Nắng
Thanh Hoa,2023-11-14 07:55:17.000000 ,17.18,79,2.98,1024,17.02,5,100,10000,Mây u ám,Nắng
Thai Nguyen,2023-11-14 07:51:23.000000 ,16.88,76,1.59,1024,16.61,14,95,10000,Mây u ám,Nắng
Buon Ma Thuot,2023-11-14 07:57:10.000000 ,23.52,83,3.13,1016,24.09,68,96,10000,Mây u ám,Nắng
