Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-11-13 18:22:02.000000 ,30.01,89,2.06,1010,37.01,280,40,8000,Mây rải rác,Nắng
Hanoi,2023-11-13 18:22:02.000000 ,16,75,4.52,1023,15.61,2,100,10000,Mây u ám,Nắng
Turan,2023-11-13 18:22:02.000000 ,27.99,83,4.63,1015,32.54,70,40,10000,Mây rải rác,Nắng
Haiphong,2023-11-13 18:22:02.000000 ,17.95,77,2.57,1022,17.81,20,100,10000,Mây u ám,Nắng
Bien Hoa,2023-11-13 18:22:03.000000 ,29.99,90,1.59,1010,36.99,10,98,10000,Mây u ám,Nắng
Can Tho,2023-11-13 18:22:03.000000 ,30.99,86,4.12,1009,37.99,80,20,10000,Mây ít,Nắng
Thu Dau Mot,2023-11-13 18:22:03.000000 ,30.03,89,2.06,1010,37.03,280,40,8000,Mây rải rác,Nắng
Di An,2023-11-13 18:22:03.000000 ,29.82,89,2.06,1010,36.82,280,40,8000,Mây rải rác,Nắng
Hue,2023-11-13 18:22:03.000000 ,27.06,89,6.17,1015,30.8,60,75,8000,Mây rải rác,Nắng
Vung Tau,2023-11-13 18:22:03.000000 ,28.24,77,7.64,1010,32.21,88,84,10000,Mây rải rác,Nắng
Thu Dau Mot,2023-11-13 18:22:03.000000 ,30.03,89,2.06,1010,37.03,280,40,8000,Mây rải rác,Nắng
Nha Trang,2023-11-13 18:22:03.000000 ,27,90,3.34,1013,30.74,3,100,10000,Mưa nhẹ,Mưa
Ha Long,2023-11-13 18:22:03.000000 ,17.77,65,2.32,1022,17.3,6,100,10000,Mây u ám,Nắng
Qui Nhon,2023-11-13 18:18:44.000000 ,26.02,88,5.83,1014,26.02,30,100,10000,Mây u ám,Nắng
Thanh Hoa,2023-11-13 18:22:04.000000 ,16.08,83,5.56,1022,15.91,357,100,10000,Mây u ám,Nắng
Thai Nguyen,2023-11-13 18:22:04.000000 ,15.88,85,1.79,1024,15.74,352,100,10000,Mây u ám,Nắng
Buon Ma Thuot,2023-11-13 18:22:04.000000 ,22.88,87,3.9,1013,23.5,85,100,10000,Mây u ám,Nắng
Long Xuyen,2023-11-13 18:22:04.000000 ,30.97,79,1.48,1010,37.97,84,64,10000,Mây rải rác,Nắng
Phu Khuong,2023-11-13 18:22:04.000000 ,27.38,80,1.45,1010,30.6,44,90,10000,Mây u ám,Nắng
Vinh,2023-11-13 18:22:04.000000 ,18.97,92,5.65,1021,19.32,345,100,10000,Mây u ám,Nắng
Rach Gia,2023-11-13 18:22:04.000000 ,27.91,79,3.3,1010,31.73,85,33,10000,Mây rải rác,Nắng
Da Lat,2023-11-13 18:22:04.000000 ,15.37,92,1.86,1015,15.36,53,100,10000,Mây u ám,Nắng
Bac Ninh,2023-11-13 18:21:16.000000 ,16.05,72,5.5,1023,15.59,0,100,10000,Mây u ám,Nắng
Hai Duong,2023-11-13 18:22:05.000000 ,18,71,4.89,1022,17.71,347,100,10000,Mây u ám,Nắng
Phan Thiet,2023-11-13 18:22:05.000000 ,26.52,79,3.9,1010,26.52,74,96,10000,Mây u ám,Nắng
Pleiku,2023-11-13 18:22:05.000000 ,21.43,87,4.94,1014,21.9,48,100,10000,Mây u ám,Nắng
Nam Dinh,2023-11-13 18:22:05.000000 ,16.71,77,5.84,1022,16.45,342,100,10000,Mây u ám,Nắng
Ca Mau,2023-11-13 18:21:05.000000 ,25.77,89,3.05,1010,26.73,95,15,10000,Mây ít,Nắng
Viet Tri,2023-11-13 18:20:17.000000 ,15.97,88,0.56,1023,15.92,132,100,10000,Mây u ám,Nắng
Soc Trang,2023-11-13 18:22:05.000000 ,26.82,83,4.95,1010,29.6,89,37,10000,Mây rải rác,Nắng
Quang Ngai,2023-11-13 18:22:05.000000 ,24.81,92,2.97,1016,25.75,45,100,6610,Mưa nhẹ,Mưa
Thai Binh,2023-11-13 18:22:05.000000 ,17.22,75,5.59,1022,16.96,340,100,10000,Mây u ám,Nắng
My Tho,2023-11-13 18:22:05.000000 ,25.83,90,1.05,1010,26.82,109,94,10000,Mây u ám,Nắng
Tuy Hoa,2023-11-13 18:22:06.000000 ,25.25,92,3.64,1014,26.23,30,100,10000,Mưa nhẹ,Mưa
Bac Lieu,2023-11-13 18:22:06.000000 ,27.16,83,6.04,1010,30.41,81,25,10000,Mây rải rác,Nắng
Thanh Pho Uong Bi,2023-11-13 18:22:06.000000 ,17.99,64,1.55,1022,17.52,0,100,10000,Mây u ám,Nắng
Bac Giang,2023-11-13 18:22:06.000000 ,16.04,68,5.14,1023,15.48,5,100,10000,Mây u ám,Nắng
Tay Ninh,2023-11-13 18:22:06.000000 ,27.55,79,1.26,1010,30.88,36,89,10000,Mây u ám,Nắng
Ninh Binh,2023-11-13 18:22:06.000000 ,15.77,81,5.78,1022,15.52,341,100,10000,Mây u ám,Nắng
Tan An,2023-11-13 18:22:06.000000 ,30.01,86,0.72,1010,37.01,213,99,10000,Mây u ám,Nắng
Kon Tum,2023-11-13 18:22:07.000000 ,22.7,88,2.67,1015,23.32,43,100,10000,Mây u ám,Nắng
Tam Ky,2023-11-13 18:22:07.000000 ,25.1,90,4.2,1016,26.02,74,100,4948,Mưa nhẹ,Mưa
Vinh Long,2023-11-13 18:22:07.000000 ,30.99,87,2.27,1010,37.99,102,80,10000,Mây rải rác,Nắng
Lao Cai,2023-11-13 18:22:07.000000 ,18.03,99,1.29,1022,18.47,120,100,3678,Mây u ám,Nắng
Lagi,2023-11-13 18:22:07.000000 ,27.08,79,5.63,1010,29.82,80,86,10000,Mây u ám,Nắng
Rach Gia,2023-11-13 18:22:04.000000 ,27.91,79,3.3,1010,31.73,85,33,10000,Mây rải rác,Nắng
Con Son,2023-11-13 18:22:07.000000 ,28.19,82,9.82,1010,32.92,70,95,10000,Mây u ám,Nắng
Cho Dok,2023-11-13 18:22:07.000000 ,27.81,79,0.44,1010,31.49,75,70,10000,Mây rải rác,Nắng
Loc Ninh,2023-11-13 18:22:08.000000 ,24.9,84,1.45,1010,25.64,54,89,10000,Mây u ám,Nắng
Phan Rang-Thap Cham,2023-11-13 18:22:08.000000 ,25.44,82,3.7,1012,26.18,20,100,10000,Mưa nhẹ,Mưa
Kwang Binh,2023-11-13 18:22:08.000000 ,24.64,91,7.8,1017,25.54,44,100,3519,Mưa nhẹ,Mưa
Dien Bien Phu,2023-11-13 18:22:08.000000 ,20.99,99,1.58,1017,21.73,92,80,10000,Mây rải rác,Nắng
Turan,2023-11-13 18:22:08.000000 ,27.99,83,4.63,1015,32.54,70,40,10000,Mây rải rác,Nắng
Don Luan,2023-11-13 18:22:08.000000 ,24.41,90,1.43,1010,25.26,15,99,10000,Mây u ám,Nắng
Loc Ninh,2023-11-13 18:22:08.000000 ,24.9,84,1.45,1010,25.64,54,89,10000,Mây u ám,Nắng
Song Cau,2023-11-13 18:22:08.000000 ,25.62,90,5.01,1014,26.59,28,100,10000,Mưa nhẹ,Mưa
Bim Son,2023-11-13 18:22:08.000000 ,15.87,82,6.37,1022,15.65,352,100,10000,Mây u ám,Nắng
Cu Chi,2023-11-13 18:22:09.000000 ,30.01,87,1.38,1010,37.01,26,95,10000,Mây u ám,Nắng
Uyen Hung,2023-11-13 18:22:09.000000 ,29.78,90,1.9,1010,36.78,18,100,10000,Mây u ám,Nắng
Ben Tre,2023-11-13 18:22:09.000000 ,25.59,90,1.93,1010,26.55,96,91,10000,Mây u ám,Nắng
Sa Dec,2023-11-13 18:22:09.000000 ,30.99,82,2.89,1010,37.99,116,81,10000,Mây rải rác,Nắng
