Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-12-08 09:20:30.000000 ,28.01,89,1.03,1013,33.6,0,100,8000,Mây u ám,Nắng
Hanoi,2023-12-08 09:21:05.000000 ,21,55,2.31,1016,20.59,143,85,10000,Mây u ám,Nắng
Turan,2023-12-08 09:19:41.000000 ,23.99,78,1.03,1017,24.48,0,40,10000,Mây rải rác,Nắng
Haiphong,2023-12-08 09:24:23.000000 ,23.95,57,2.06,1017,23.89,100,0,10000,Không xác định,Nắng
Bien Hoa,2023-12-08 09:24:23.000000 ,27.99,77,2.55,1013,31.62,352,100,10000,Mưa nhẹ,Mưa
Can Tho,2023-12-08 09:24:23.000000 ,27.99,83,2.57,1013,32.54,60,75,10000,Mây rải rác,Nắng
Thu Dau Mot,2023-12-08 09:24:23.000000 ,28.03,89,1.03,1013,33.67,0,100,8000,Mây u ám,Nắng
Di An,2023-12-08 09:24:24.000000 ,27.82,89,1.03,1013,33.02,0,100,8000,Mây u ám,Nắng
Hue,2023-12-08 09:24:24.000000 ,23.06,83,2.06,1017,23.59,230,40,8000,Mây rải rác,Nắng
Vung Tau,2023-12-08 09:24:24.000000 ,25.69,81,2.6,1014,26.43,28,100,10000,Mây u ám,Nắng
Thu Dau Mot,2023-12-08 09:24:23.000000 ,28.03,89,1.03,1013,33.67,0,100,8000,Mây u ám,Nắng
Nha Trang,2023-12-08 09:24:24.000000 ,28,75,2.62,1015,31.36,356,68,10000,Mây rải rác,Nắng
Ha Long,2023-12-08 09:24:24.000000 ,23.77,53,2.11,1016,23.59,90,23,10000,Mây ít,Nắng
Qui Nhon,2023-12-08 09:24:24.000000 ,23.41,90,3.3,1016,24.16,325,100,10000,Mây u ám,Nắng
Thanh Hoa,2023-12-08 09:24:24.000000 ,22.16,62,1.23,1016,22.05,203,22,10000,Mây ít,Nắng
Thai Nguyen,2023-12-08 09:24:24.000000 ,20.88,56,1.23,1017,20.49,140,23,10000,Mây ít,Nắng
Buon Ma Thuot,2023-12-08 09:24:24.000000 ,25.05,66,3.4,1015,25.33,84,62,10000,Mưa vừa,Mưa
Long Xuyen,2023-12-08 09:24:25.000000 ,27.97,74,0.82,1013,31.15,305,65,10000,Mây rải rác,Nắng
Phu Khuong,2023-12-08 09:24:25.000000 ,27.19,74,1.86,1013,29.56,319,70,10000,Mưa nhẹ,Mưa
Vinh,2023-12-08 09:24:25.000000 ,20.95,72,1.14,1016,20.98,258,58,10000,Mây rải rác,Nắng
Rach Gia,2023-12-08 09:24:25.000000 ,26.33,80,1.31,1013,26.33,93,31,10000,Mây rải rác,Nắng
Da Lat,2023-12-08 09:24:25.000000 ,21.56,60,1.01,1015,21.34,55,96,10000,Mây u ám,Nắng
Bac Ninh,2023-12-08 09:24:25.000000 ,21.05,53,2.47,1016,20.59,132,71,10000,Mây rải rác,Nắng
Hai Duong,2023-12-08 09:24:25.000000 ,24,53,2.95,1016,23.84,133,88,10000,Mây u ám,Nắng
Phan Thiet,2023-12-08 09:24:25.000000 ,27.25,64,1.48,1013,28.74,79,100,10000,Mây u ám,Nắng
Pleiku,2023-12-08 09:24:25.000000 ,24.15,60,1.71,1015,24.19,63,11,10000,Mây ít,Nắng
Nam Dinh,2023-12-08 09:24:26.000000 ,23.02,54,2.44,1016,22.79,166,74,10000,Mây rải rác,Nắng
Ca Mau,2023-12-08 09:20:09.000000 ,27.89,74,3.83,1013,30.98,80,100,10000,Mây u ám,Nắng
Viet Tri,2023-12-08 09:24:26.000000 ,20.97,61,1.95,1016,20.72,118,11,10000,Mây ít,Nắng
Soc Trang,2023-12-08 09:24:26.000000 ,27.62,75,4.58,1013,30.54,62,99,10000,Mây u ám,Nắng
