Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-12-05 20:06:32.000000 ,30.01,74,2.06,1011,36.07,130,40,10000,Mây rải rác,Nắng
Hanoi,2023-12-05 20:01:34.000000 ,19,77,1.27,1014,18.97,84,100,10000,Mây u ám,Nắng
Turan,2023-12-05 20:06:32.000000 ,25.99,78,1.54,1015,25.99,90,40,10000,Mây rải rác,Nắng
Haiphong,2023-12-05 20:06:32.000000 ,20.95,78,2.06,1015,21.14,150,75,10000,Mây rải rác,Nắng
Bien Hoa,2023-12-05 20:06:32.000000 ,29.99,86,2.41,1011,36.99,144,34,10000,Mây rải rác,Nắng
Can Tho,2023-12-05 20:06:32.000000 ,27.99,78,2.57,1011,31.77,110,20,10000,Mây ít,Nắng
Thu Dau Mot,2023-12-05 20:06:33.000000 ,30.03,74,2.06,1011,36.12,130,40,10000,Mây rải rác,Nắng
Di An,2023-12-05 20:06:33.000000 ,29.82,74,2.06,1011,35.56,130,40,10000,Mây rải rác,Nắng
Hue,2023-12-05 20:06:33.000000 ,24.06,94,2.57,1014,24.98,300,75,10000,Mây rải rác,Nắng
Vung Tau,2023-12-05 20:06:34.000000 ,26.52,82,7.14,1011,26.52,84,29,10000,Mây rải rác,Nắng
Thu Dau Mot,2023-12-05 20:06:33.000000 ,30.03,74,2.06,1011,36.12,130,40,10000,Mây rải rác,Nắng
Nha Trang,2023-12-05 20:06:34.000000 ,26,88,1.97,1013,26,356,22,10000,Mây ít,Nắng
Ha Long,2023-12-05 20:06:34.000000 ,20.77,86,1.63,1015,21.15,99,92,10000,Mây u ám,Nắng
Qui Nhon,2023-12-05 20:06:35.000000 ,24.74,89,3.11,1014,25.59,346,17,10000,Mây ít,Nắng
Thanh Hoa,2023-12-05 20:06:35.000000 ,20.97,92,1.01,1014,21.52,143,100,10000,Mây u ám,Nắng
Thai Nguyen,2023-12-05 20:06:35.000000 ,18.88,81,0.63,1015,18.94,11,100,10000,Mây u ám,Nắng
Buon Ma Thuot,2023-12-05 20:06:36.000000 ,22.37,82,3.23,1013,22.8,81,6,10000,Không xác định,Nắng
Long Xuyen,2023-12-05 20:06:36.000000 ,27.97,77,3.76,1011,31.58,133,92,10000,Mây u ám,Nắng
Phu Khuong,2023-12-05 20:06:36.000000 ,27.36,75,2.13,1011,30,186,63,10000,Mây rải rác,Nắng
Vinh,2023-12-05 20:06:37.000000 ,21.55,94,0.29,1014,22.22,160,100,10000,Mây u ám,Nắng
Rach Gia,2023-12-05 20:06:37.000000 ,26.31,80,4.47,1011,26.31,116,100,10000,Mây u ám,Nắng
Da Lat,2023-12-05 20:06:37.000000 ,15.51,99,1.25,1016,15.7,51,26,10000,Mây rải rác,Nắng
Bac Ninh,2023-12-05 20:06:38.000000 ,19.05,74,0.84,1015,18.94,43,100,10000,Mây u ám,Nắng
Hai Duong,2023-12-05 20:06:38.000000 ,21,78,2.82,1015,21.19,137,100,10000,Mây u ám,Nắng
Phan Thiet,2023-12-05 20:06:38.000000 ,25.27,86,4.15,1011,26.1,64,70,10000,Mây rải rác,Nắng
Pleiku,2023-12-05 20:02:03.000000 ,19.69,94,2.28,1014,20.17,78,94,10000,Mây u ám,Nắng
Nam Dinh,2023-12-05 20:06:38.000000 ,21.55,82,2.44,1015,21.9,120,100,10000,Mây u ám,Nắng
Ca Mau,2023-12-05 20:06:38.000000 ,25.25,85,3.02,1011,26.05,81,100,10000,Mây u ám,Nắng
Viet Tri,2023-12-05 20:06:39.000000 ,18.97,82,1.34,1014,19.06,81,99,10000,Mây u ám,Nắng
Soc Trang,2023-12-05 20:06:39.000000 ,25.2,85,3.86,1011,26,83,100,10000,Mây u ám,Nắng
Quang Ngai,2023-12-05 20:06:39.000000 ,24.04,92,1.06,1014,24.9,55,65,10000,Mây rải rác,Nắng
Thai Binh,2023-12-05 20:06:39.000000 ,21.49,81,2.65,1015,21.81,115,86,10000,Mây u ám,Nắng
My Tho,2023-12-05 20:06:40.000000 ,25.37,83,3.22,1011,26.13,111,66,10000,Mây rải rác,Nắng
Tuy Hoa,2023-12-05 20:06:40.000000 ,24.21,91,1.92,1014,25.06,6,34,10000,Mây rải rác,Nắng
Bac Lieu,2023-12-05 20:06:41.000000 ,25.74,85,4.83,1011,26.59,77,100,10000,Mây u ám,Nắng
Thanh Pho Uong Bi,2023-12-05 20:06:41.000000 ,20.99,87,1.47,1015,21.42,121,100,10000,Mây u ám,Nắng
Bac Giang,2023-12-05 20:06:41.000000 ,19.04,73,0.43,1015,18.91,35,100,10000,Mây u ám,Nắng
Tay Ninh,2023-12-05 20:06:42.000000 ,27.67,74,1.93,1011,30.52,192,66,10000,Mây rải rác,Nắng
Ninh Binh,2023-12-05 20:06:42.000000 ,21.16,86,1.62,1015,21.58,114,100,10000,Mây u ám,Nắng
Tan An,2023-12-05 20:06:42.000000 ,30.01,84,3.3,1011,37.01,125,68,10000,Mây rải rác,Nắng
Kon Tum,2023-12-05 20:06:42.000000 ,20.88,92,1.39,1014,21.43,84,11,10000,Mây ít,Nắng
Tam Ky,2023-12-05 20:06:42.000000 ,24.61,89,2.06,1014,25.45,97,81,10000,Mây rải rác,Nắng
Vinh Long,2023-12-05 20:06:43.000000 ,27.99,84,3.31,1011,32.71,114,100,10000,Mây u ám,Nắng
Lao Cai,2023-12-05 20:06:43.000000 ,20.03,94,0.34,1015,20.54,201,76,10000,Mây rải rác,Nắng
Lagi,2023-12-05 20:06:43.000000 ,25.6,85,5.78,1011,26.43,71,76,10000,Mây rải rác,Nắng
Rach Gia,2023-12-05 20:06:44.000000 ,26.31,80,4.47,1011,26.31,116,100,10000,Mây u ám,Nắng
Con Son,2023-12-05 20:06:44.000000 ,26.31,89,8.21,1011,26.31,73,100,10000,Mây u ám,Nắng
Cho Dok,2023-12-05 20:06:44.000000 ,28.33,72,2.26,1011,31.62,149,100,10000,Mây u ám,Nắng
Loc Ninh,2023-12-05 20:06:44.000000 ,26.04,77,0.65,1011,26.04,255,86,10000,Mây u ám,Nắng
Phan Rang-Thap Cham,2023-12-05 20:06:44.000000 ,24.37,88,3.11,1012,25.16,15,40,10000,Mây rải rác,Nắng
Kwang Binh,2023-12-05 20:06:45.000000 ,23.11,93,0.86,1015,23.9,282,100,10000,Mây u ám,Nắng
Dien Bien Phu,2023-12-05 20:06:45.000000 ,20.4,99,0.34,1014,21.08,107,78,10000,Mây rải rác,Nắng
Turan,2023-12-05 20:06:45.000000 ,25.99,78,1.54,1015,25.99,90,40,10000,Mây rải rác,Nắng
Don Luan,2023-12-05 20:06:45.000000 ,24.33,91,1.32,1011,25.19,138,63,10000,Mây rải rác,Nắng
Loc Ninh,2023-12-05 20:06:44.000000 ,26.04,77,0.65,1011,26.04,255,86,10000,Mây u ám,Nắng
Song Cau,2023-12-05 20:06:46.000000 ,24.44,92,3.36,1014,25.34,357,35,10000,Mưa nhẹ,Mưa
Bim Son,2023-12-05 20:06:46.000000 ,21.25,88,1.41,1015,21.73,112,100,10000,Mây u ám,Nắng
Cu Chi,2023-12-05 20:06:46.000000 ,30.01,85,2.88,1011,37.01,149,71,10000,Mưa nhẹ,Mưa
Uyen Hung,2023-12-05 20:06:46.000000 ,29.78,87,2.43,1011,36.78,155,17,10000,Mây ít,Nắng
Ben Tre,2023-12-05 20:06:46.000000 ,25.52,83,3.36,1011,26.29,100,76,10000,Mây rải rác,Nắng
