Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-12-07 19:13:14.000000 ,29.01,79,3.09,1011,34.55,200,40,10000,Mây rải rác,Nắng
Hanoi,2023-12-07 19:13:53.000000 ,21,46,2.29,1015,20.36,119,55,10000,Mây rải rác,Nắng
Turan,2023-12-07 19:10:37.000000 ,22.99,78,2.06,1016,23.38,340,75,10000,Mây rải rác,Nắng
Haiphong,2023-12-07 19:13:53.000000 ,20.95,64,2.57,1016,20.77,120,0,10000,Không xác định,Nắng
Bien Hoa,2023-12-07 19:13:53.000000 ,28.99,87,3.93,1011,35.99,158,88,10000,Mây u ám,Nắng
Can Tho,2023-12-07 19:13:53.000000 ,27.99,78,3.09,1011,31.77,110,40,10000,Mây rải rác,Nắng
Thu Dau Mot,2023-12-07 19:13:53.000000 ,29.03,79,2.57,1011,34.61,170,75,10000,Mây rải rác,Nắng
Di An,2023-12-07 19:13:53.000000 ,28.82,79,2.57,1011,34.04,170,75,10000,Mây rải rác,Nắng
Hue,2023-12-07 19:13:54.000000 ,21.06,94,2.06,1017,21.68,230,75,3000,Không xác định,Nắng
Vung Tau,2023-12-07 19:13:54.000000 ,26.4,82,7.44,1011,26.4,92,94,10000,Mây u ám,Nắng
Thu Dau Mot,2023-12-07 19:13:53.000000 ,29.03,79,2.57,1011,34.61,170,75,10000,Mây rải rác,Nắng
Nha Trang,2023-12-07 19:12:09.000000 ,27,83,2.97,1014,30.03,354,76,10000,Mây rải rác,Nắng
Ha Long,2023-12-07 19:13:54.000000 ,20.77,59,2.49,1017,20.44,76,73,10000,Mây rải rác,Nắng
Qui Nhon,2023-12-07 19:13:54.000000 ,24.66,87,5.07,1014,25.45,6,52,10000,Mây rải rác,Nắng
Thanh Hoa,2023-12-07 19:13:54.000000 ,20.11,70,2.41,1016,20,146,81,10000,Mây rải rác,Nắng
Thai Nguyen,2023-12-07 19:13:54.000000 ,20.88,54,0.95,1016,20.43,166,81,10000,Mây rải rác,Nắng
Buon Ma Thuot,2023-12-07 19:13:54.000000 ,21.67,82,3.39,1014,22.03,74,71,10000,Mây rải rác,Nắng
Long Xuyen,2023-12-07 19:13:54.000000 ,27.97,83,3.32,1011,32.49,169,98,10000,Mây u ám,Nắng
Phu Khuong,2023-12-07 19:13:55.000000 ,27.41,70,3.17,1010,29.57,170,76,10000,Mây rải rác,Nắng
Vinh,2023-12-07 19:13:55.000000 ,20.66,71,1.74,1016,20.64,109,96,10000,Mây u ám,Nắng
Rach Gia,2023-12-07 19:13:55.000000 ,26.6,84,3.65,1011,26.6,149,89,10000,Mưa vừa,Mưa
Da Lat,2023-12-07 19:13:55.000000 ,14.85,97,1.49,1016,14.92,41,57,10000,Mây rải rác,Nắng
Bac Ninh,2023-12-07 19:13:55.000000 ,21.05,49,3.66,1016,20.49,133,67,10000,Mây rải rác,Nắng
Hai Duong,2023-12-07 19:13:55.000000 ,21,58,4.43,1016,20.67,130,47,10000,Mây rải rác,Nắng
Phan Thiet,2023-12-07 19:13:55.000000 ,25.61,79,4.72,1011,26.29,70,77,10000,Mây rải rác,Nắng
Pleiku,2023-12-07 19:13:13.000000 ,19.06,92,2.39,1015,19.42,77,79,10000,Mây rải rác,Nắng
Nam Dinh,2023-12-07 19:13:55.000000 ,21.82,59,3.71,1016,21.6,140,88,10000,Mây u ám,Nắng
Ca Mau,2023-12-07 19:13:55.000000 ,24.59,89,2.99,1012,25.43,104,84,10000,Mây rải rác,Nắng
Viet Tri,2023-12-07 19:13:56.000000 ,20.97,55,1.9,1015,20.56,127,71,10000,Mây rải rác,Nắng
Soc Trang,2023-12-07 19:13:56.000000 ,24.96,85,3.6,1011,25.73,88,95,10000,Mây u ám,Nắng
Quang Ngai,2023-12-07 19:13:56.000000 ,23.45,91,3.03,1015,24.23,19,91,10000,Mưa nhẹ,Mưa
Thai Binh,2023-12-07 19:13:56.000000 ,22.01,58,3.92,1016,21.78,129,89,10000,Mây u ám,Nắng
My Tho,2023-12-07 19:13:56.000000 ,24.2,93,2.86,1011,25.1,135,97,10000,Mây u ám,Nắng
Tuy Hoa,2023-12-07 19:13:56.000000 ,23.9,91,2.52,1014,24.72,3,47,10000,Mây rải rác,Nắng
Bac Lieu,2023-12-07 19:13:56.000000 ,25.73,84,5.46,1011,26.55,85,88,10000,Mưa nhẹ,Mưa
Thanh Pho Uong Bi,2023-12-07 19:13:56.000000 ,20.99,58,1.89,1016,20.66,96,57,10000,Mây rải rác,Nắng
Bac Giang,2023-12-07 19:13:56.000000 ,21.04,56,4.63,1016,20.66,142,71,10000,Mây rải rác,Nắng
Tay Ninh,2023-12-07 19:13:57.000000 ,27.63,68,2.88,1010,29.74,171,74,10000,Mây rải rác,Nắng
Ninh Binh,2023-12-07 19:13:57.000000 ,21.23,62,2.96,1016,21.03,155,88,10000,Mây u ám,Nắng
Tan An,2023-12-07 19:13:57.000000 ,29.01,91,3.77,1011,36.01,147,93,10000,Mây u ám,Nắng
Kon Tum,2023-12-07 19:13:57.000000 ,20.53,88,1.79,1015,20.94,76,65,10000,Mây rải rác,Nắng
Tam Ky,2023-12-07 19:13:57.000000 ,22.66,89,3.22,1016,23.31,1,100,10000,Mưa nhẹ,Mưa
Vinh Long,2023-12-07 19:13:57.000000 ,27.99,91,3.51,1011,33.89,144,100,10000,Mây u ám,Nắng
Lao Cai,2023-12-07 19:13:57.000000 ,19.28,74,0.66,1016,19.2,210,33,10000,Mây rải rác,Nắng
Lagi,2023-12-07 19:13:57.000000 ,25.73,81,5.61,1011,26.47,76,88,10000,Mây u ám,Nắng
Rach Gia,2023-12-07 19:13:55.000000 ,26.6,84,3.65,1011,26.6,149,89,10000,Mưa vừa,Mưa
Con Son,2023-12-07 19:13:57.000000 ,26.5,84,9.41,1011,26.5,75,100,10000,Mây u ám,Nắng
Cho Dok,2023-12-07 19:13:58.000000 ,27.97,68,2.52,1011,30.35,162,93,10000,Mây u ám,Nắng
Loc Ninh,2023-12-07 19:13:58.000000 ,27.93,67,1.24,1011,30.15,69,75,10000,Mây rải rác,Nắng
Phan Rang-Thap Cham,2023-12-07 19:13:58.000000 ,24.14,83,3.89,1012,24.78,24,63,10000,Mây rải rác,Nắng
Kwang Binh,2023-12-07 19:13:58.000000 ,21.71,70,2.47,1016,21.76,7,55,10000,Mây rải rác,Nắng
Dien Bien Phu,2023-12-07 19:13:58.000000 ,19.43,79,0.75,1015,19.49,81,40,10000,Mây rải rác,Nắng
Turan,2023-12-07 19:13:58.000000 ,22.99,78,1.54,1016,23.38,340,75,10000,Mây rải rác,Nắng
Don Luan,2023-12-07 19:13:58.000000 ,28.3,85,1.33,1011,33.76,130,69,10000,Mây rải rác,Nắng
Loc Ninh,2023-12-07 19:13:58.000000 ,27.93,67,1.24,1011,30.15,69,75,10000,Mây rải rác,Nắng
Song Cau,2023-12-07 19:13:58.000000 ,24.13,90,4.25,1014,24.95,4,30,10000,Mây rải rác,Nắng
Bim Son,2023-12-07 19:13:58.000000 ,21.21,64,2.91,1016,21.06,149,77,10000,Mây rải rác,Nắng
Cu Chi,2023-12-07 19:13:59.000000 ,29.01,84,4.74,1011,35.67,165,95,10000,Mây u ám,Nắng
Uyen Hung,2023-12-07 19:13:59.000000 ,28.78,85,4.21,1011,35.19,163,81,10000,Mây rải rác,Nắng
Ben Tre,2023-12-07 19:13:59.000000 ,24.24,92,2.42,1011,25.12,120,100,10000,Mây u ám,Nắng
Sa Dec,2023-12-07 19:13:59.000000 ,27.99,87,4,1011,33.2,155,99,10000,Mây u ám,Nắng
Ap Van Tu Tay,2023-12-07 19:13:59.000000 ,26.34,87,2.39,1014,26.34,353,73,10000,Mây rải rác,Nắng
Song Cau,2023-12-07 19:13:58.000000 ,24.13,90,4.25,1014,24.95,4,30,10000,Mây rải rác,Nắng
Ngo Chau,2023-12-07 19:13:59.000000 ,22.7,95,2.47,1015,23.51,358,54,10000,Mưa nhẹ,Mưa
Hoi An,2023-12-07 19:13:59.000000 ,22.98,85,3.94,1015,23.55,327,99,10000,Mây u ám,Nắng
Dong Ha,2023-12-07 19:13:59.000000 ,21.32,80,1.04,1016,21.6,320,100,10000,Mây u ám,Nắng
Bim Son,2023-12-07 19:13:58.000000 ,21.21,64,2.91,1016,21.06,149,77,10000,Mây rải rác,Nắng
Phu Ly,2023-12-07 19:13:59.000000 ,21.59,58,2.92,1016,21.32,150,80,10000,Mây rải rác,Nắng
Hai Ha,2023-12-07 19:14:00.000000 ,19.47,71,0.9,1016,19.33,145,72,10000,Mây rải rác,Nắng
Ha Dong,2023-12-07 19:13:29.000000 ,21.01,45,1.82,1015,20.34,121,59,10000,Mây rải rác,Nắng
Hau Duong,2023-12-07 19:14:00.000000 ,21.02,68,2.06,1016,20.95,330,66,7000,Mây rải rác,Nắng
Yen Lap,2023-12-07 19:14:00.000000 ,20.36,65,0.65,1016,20.15,181,56,10000,Mây rải rác,Nắng
Thanh Ba,2023-12-07 19:14:00.000000 ,20.85,58,1.19,1015,20.51,142,55,10000,Mây rải rác,Nắng
Doan Hung,2023-12-07 19:14:00.000000 ,20.94,57,0.92,1015,20.58,142,43,10000,Mây rải rác,Nắng
Son Duong,2023-12-07 19:14:00.000000 ,20.22,60,0.83,1015,19.86,141,54,10000,Mây rải rác,Nắng
